row_type,C,fold,auc
per_fold,0.001,1,0.818936
per_fold,0.001,2,0.776602
per_fold,0.001,3,0.897883
per_fold,0.001,4,0.861244
per_fold,0.001,5,0.693780
per_fold,0.01,1,0.811499
per_fold,0.01,2,0.778318
per_fold,0.01,3,0.889302
per_fold,0.01,4,0.860347
per_fold,0.01,5,0.700060
per_fold,0.1,1,0.809783
per_fold,0.1,2,0.781178
per_fold,0.1,3,0.887014
per_fold,0.1,4,0.857057
per_fold,0.1,5,0.702751
per_fold,1.0,1,0.810069
per_fold,1.0,2,0.780892
per_fold,1.0,3,0.886156
per_fold,1.0,4,0.856160
per_fold,1.0,5,0.702153
per_fold,10.0,1,0.810069
per_fold,10.0,2,0.781465
per_fold,10.0,3,0.886156
per_fold,10.0,4,0.856160
per_fold,10.0,5,0.702153
summary,0.001,BEST,0.809689±0.070783
summary,0.01,,0.807905±0.066173
summary,0.1,,0.807557±0.063951
summary,1.0,,0.807086±0.063822
summary,10.0,,0.807200±0.063775
