row_type,C,fold,auc
per_fold,0.001,1,0.823513
per_fold,0.001,2,0.779462
per_fold,0.001,3,0.912185
per_fold,0.001,4,0.856160
per_fold,0.001,5,0.720395
per_fold,0.01,1,0.820366
per_fold,0.01,2,0.779462
per_fold,0.01,3,0.908753
per_fold,0.01,4,0.857656
per_fold,0.01,5,0.718002
per_fold,0.1,1,0.818078
per_fold,0.1,2,0.780034
per_fold,0.1,3,0.905034
per_fold,0.1,4,0.856459
per_fold,0.1,5,0.718002
per_fold,1.0,1,0.816934
per_fold,1.0,2,0.779748
per_fold,1.0,3,0.903890
per_fold,1.0,4,0.855263
per_fold,1.0,5,0.719498
per_fold,10.0,1,0.816934
per_fold,10.0,2,0.779748
per_fold,10.0,3,0.903318
per_fold,10.0,4,0.854366
per_fold,10.0,5,0.719498
summary,0.001,BEST,0.818343±0.065374
summary,0.01,,0.816848±0.065257
summary,0.1,,0.815522±0.063975
summary,1.0,,0.815067±0.063071
summary,10.0,,0.814773±0.062796
