epoch,lr_max,lr_min,train_focal_loss,train_bce,train_acc,val_bce,val_acc,val_auc
1,9.985278973117595e-06,9.985278973117595e-06,0.8279108415985312,2.203226168268228,0.5464949928469242,0.8921831903003511,0.7037037037037037,0.5504955167531855
2,9.93983000911557e-06,9.93983000911557e-06,0.7164800908091413,1.8715726998401472,0.5593705293276109,1.835479741374021,0.5396825396825397,0.4155261915998113
3,9.863925350447179e-06,9.863925350447179e-06,0.8409548879351909,2.099581540227789,0.5493562231759657,1.544605254496216,0.544973544973545,0.42873997168475697
4,9.758032974573972e-06,9.758032974573972e-06,0.6028647106433972,1.8947751743769612,0.5822603719599427,1.5962960669603297,0.5238095238095238,0.4336951392166116
5,9.622805743205999e-06,9.622805743205999e-06,0.431970572085766,1.786524571574297,0.592274678111588,1.8074166736905537,0.4973544973544973,0.4785276073619632
6,9.459077377192258e-06,9.459077377192258e-06,0.48238817944547135,1.7433181661734083,0.5951359084406295,1.524783728614686,0.5555555555555556,0.4705049551675319
7,9.267857316354435e-06,9.267857316354435e-06,0.5995203103971413,1.828148831284268,0.586552217453505,1.4692926078877122,0.5925925925925926,0.4747522416234073
8,9.05032449595471e-06,9.05032449595471e-06,0.5292012659467767,1.758607441263649,0.5779685264663805,1.3515592643192835,0.5925925925925926,0.49457291175082585
9,8.807820078167856e-06,8.807820078167856e-06,0.43892158211897714,1.7742845067309378,0.6165951359084406,1.234113442834723,0.6507936507936508,0.5195847097687588
10,8.541839183370431e-06,8.541839183370431e-06,0.3904700921328794,1.5867006686624028,0.6080114449213162,1.3399210824537529,0.6084656084656085,0.49528079282680515
11,8.254021672226482e-06,8.254021672226482e-06,0.5228052625328686,1.716259141166152,0.5937052932761088,1.4167975830653357,0.6084656084656085,0.47947144879660214
12,7.946142035401247e-06,7.946142035401247e-06,0.4827057685548485,1.7422550880857803,0.5937052932761088,1.509375224037776,0.5291005291005291,0.5155733836715432
13,7.620098453236122e-06,7.620098453236122e-06,0.3686430928362627,1.5671568742296385,0.6280400572246065,1.3412898343706887,0.5873015873015873,0.505427088249174
14,7.277901092835648e-06,7.277901092835648e-06,0.3904207311623939,1.4428735744629124,0.6452074391988555,1.4028236481247756,0.5661375661375662,0.515809344030203
15,6.921659714718864e-06,6.921659714718864e-06,0.3991304135885361,1.5758162302009027,0.6266094420600858,1.2618710345061368,0.6190476190476191,0.5420009438414346
16,6.553570665444137e-06,6.553570665444137e-06,0.381131805916542,1.521597595856084,0.6394849785407726,1.348122550696923,0.5714285714285714,0.513921661160925
17,6.175903336402278e-06,6.175903336402278e-06,0.36867533251110235,1.4251841478934444,0.6237482117310443,1.5607736558510512,0.5555555555555556,0.5023596035865974
18,5.7909861722639595e-06,5.7909861722639595e-06,0.42159856725830547,1.5587981062726743,0.6394849785407726,1.3323751069881298,0.6031746031746031,0.5023596035865974
19,5.40119231534404e-06,5.40119231534404e-06,0.381913503224246,1.419623287109517,0.6580829756795422,1.4060180735966517,0.5661375661375662,0.5214723926380368
20,5.0089249743900415e-06,5.0089249743900415e-06,0.3024525732995785,1.3328430693548636,0.6509298998569385,1.4518733358887768,0.5502645502645502,0.5554506842850401
21,4.616602608001074e-06,4.616602608001074e-06,0.3343919071346223,1.3586578170458476,0.648068669527897,1.3735196309745628,0.5767195767195767,0.5604058518168947
