epoch,lr_max,lr_min,train_focal_loss,train_bce,train_acc,val_bce,val_acc,val_auc
1,9.985000223478185e-07,9.985000223478185e-07,0.048601204308412846,0.7825618028640747,0.2864406779661017,0.883517800730405,0.0657439446366782,0.7193223443223443
2,9.939269079051132e-07,9.939269079051132e-07,0.045356891114832994,0.7824756028288502,0.3016949152542373,0.8768278451114377,0.07612456747404844,0.7916666666666667
3,9.863085698278087e-07,9.863085698278087e-07,0.04347110809916157,0.7720474028991441,0.29491525423728815,0.8744667931411506,0.08650519031141868,0.8255494505494505
4,9.756919777035064e-07,9.756919777035064e-07,0.04206095452783471,0.7516674890356548,0.33220338983050846,0.8320045252572293,0.15570934256055363,0.8683608058608059
5,9.621425863530276e-07,9.621425863530276e-07,0.040397933479082784,0.7383909641686133,0.35677966101694913,0.8256026485799506,0.2041522491349481,0.8756868131868131
6,9.45743932279678e-07,9.45743932279678e-07,0.03992913105225159,0.7251227643530248,0.3983050847457627,0.8376121945859651,0.2179930795847751,0.882554945054945
7,9.265971186389254e-07,9.265971186389254e-07,0.03774131557951539,0.7083157333277039,0.4406779661016949,0.8444335794778843,0.2491349480968858,0.8878205128205128
8,9.048201919038267e-07,9.048201919038267e-07,0.03716857630317494,0.7007838186571154,0.48559322033898306,0.842011727882504,0.29411764705882354,0.901098901098901
9,8.80547414069267e-07,8.80547414069267e-07,0.03618297465776993,0.6903251926777727,0.5127118644067796,0.8027844990001005,0.35986159169550175,0.9056776556776557
10,8.539284348821138e-07,8.539284348821138e-07,0.03376467617512759,0.657845410250001,0.5686440677966101,0.8096715137620286,0.3737024221453287,0.9040750915750916
11,8.251273692007647e-07,8.251273692007647e-07,0.03324945094221729,0.6518530326374506,0.6084745762711864,0.7931942830448745,0.3944636678200692,0.9109432234432235
12,7.943217851724715e-07,7.943217851724715e-07,0.03474439686890376,0.6640886007729223,0.5720338983050848,0.7567221858509684,0.4740484429065744,0.9196428571428572
13,7.617016094666649e-07,7.617016094666649e-07,0.033081984507330395,0.6477240045191878,0.614406779661017,0.7367450000918035,0.532871972318339,0.9210164835164836
14,7.274679563138804e-07,7.274679563138804e-07,0.03279599636414293,0.6434831081810645,0.6440677966101694,0.7080070865195516,0.5709342560553633,0.9233058608058609
15,6.918318875696495e-07,6.918318875696495e-07,0.03190505058836129,0.6223170122857821,0.6508474576271186,0.7273260284872616,0.5640138408304498,0.9228479853479854
16,6.55013111447976e-07,6.55013111447976e-07,0.030997719097945648,0.6127151161937391,0.673728813559322,0.7102841596702391,0.5743944636678201,0.9313186813186813
17,6.172386279471353e-07,6.172386279471353e-07,0.03072798577910763,0.6087947215064097,0.6677966101694915,0.7104175915767578,0.5813148788927336,0.9228479853479853
18,5.787413293192007e-07,5.787413293192007e-07,0.030262943470882157,0.6083635998984515,0.6720338983050848,0.7026965345890877,0.5916955017301038,0.9283424908424909
19,5.397585642118642e-07,5.397585642118642e-07,0.02890493794644283,0.5929638509022988,0.6940677966101695,0.6782529861456795,0.6228373702422145,0.924908424908425
20,5.005306743350974e-07,5.005306743350974e-07,0.028168507008734398,0.582782683130038,0.7127118644067797,0.6337315087499915,0.657439446366782,0.923992673992674
21,4.612995126745874e-07,4.612995126745874e-07,0.030372965822027902,0.5921741315874003,0.688135593220339,0.6279686132516829,0.6608996539792388,0.9297161172161172
22,4.223069523876565e-07,4.223069523876565e-07,0.028978684361455804,0.5769467984215688,0.714406779661017,0.6534337019837851,0.6401384083044983,0.9299450549450549
23,3.8379339557481594e-07,3.8379339557481594e-07,0.0274526405006142,0.5703832897089296,0.7228813559322034,0.621695546130408,0.6643598615916955,0.934981684981685
24,3.459962911208738e-07,3.459962911208738e-07,0.027566357916694578,0.5604311273259631,0.7347457627118644,0.6236312100631556,0.6608996539792388,0.93246336996337
25,3.0914867074360136e-07,3.0914867074360136e-07,0.028665375924211436,0.5775609064910372,0.7067796610169491,0.64928297105545,0.6401384083044983,0.9331501831501832
26,2.734777122757017e-07,2.734777122757017e-07,0.02877099493802604,0.5713679200511868,0.7067796610169491,0.6259429001065686,0.6678200692041523,0.934981684981685
27,2.3920333903792676e-07,2.3920333903792676e-07,0.026435053140177564,0.560970004130218,0.7288135593220338,0.6174390035517076,0.671280276816609,0.9347527472527473
28,2.0653686393867315e-07,2.0653686393867315e-07,0.027073473066596663,0.5507294786178459,0.7559322033898305,0.6289826173683352,0.6643598615916955,0.9354395604395604
29,1.7567968665963296e-07,1.7567968665963296e-07,0.027465678738840555,0.5687810300770453,0.7288135593220338,0.6205607260799738,0.671280276816609,0.9363553113553114
30,1.468220519597842e-07,1.468220519597842e-07,0.027044863594790636,0.5522327087693295,0.7542372881355932,0.6151494587993952,0.671280276816609,0.9372710622710623
31,1.2014187675318876e-07,1.2014187675318876e-07,0.02767452177102283,0.5609616196761698,0.7305084745762712,0.6112099112523881,0.6782006920415224,0.9381868131868132
32,9.580365319205386e-08,9.580365319205386e-08,0.028794632757366715,0.5700348915690082,0.7127118644067797,0.6069850533891301,0.6782006920415224,0.9388736263736264
33,7.395743451791453e-08,7.395743451791453e-08,0.028044474112280345,0.5544665726564698,0.7296610169491525,0.6218362473286559,0.671280276816609,0.9384157509157509
34,5.473790993350152e-08,5.473790993350152e-08,0.0267186523999198,0.5579875570232585,0.7296610169491525,0.6148987315517809,0.6782006920415224,0.9395604395604396
35,3.826357419901843e-08,3.826357419901843e-08,0.02475736900785212,0.5553765274710575,0.7245762711864406,0.6042213745183186,0.6816608996539792,0.9397893772893773
36,2.4635997072540936e-08,2.4635997072540936e-08,0.026681001294972532,0.5582429788880429,0.7220338983050848,0.5979773635270274,0.6851211072664359,0.9395604395604396
37,1.3939197098682798e-08,1.3939197098682798e-08,0.028063816135212527,0.560815965523154,0.7305084745762712,0.5974869439346155,0.6851211072664359,0.9395604395604396
38,6.239123606329888e-09,6.239123606329888e-09,0.025791125271027372,0.5500055967751196,0.7457627118644068,0.5974511297928833,0.6851211072664359,0.9395604395604396
39,1.5832501090968786e-09,1.5832501090968786e-09,0.026798579993389422,0.5544589464947328,0.7483050847457627,0.59746173880092,0.6851211072664359,0.9395604395604396
40,2.81615329222884e-13,2.81615329222884e-13,0.02617379390966084,0.5511095946117983,0.738135593220339,0.5974367958039148,0.6851211072664359,0.9395604395604396
41,9.996248648605818e-07,9.996248648605818e-07,0.02686822706738771,0.5476169036606611,0.7466101694915255,0.6308449321139643,0.6505190311418685,0.9356684981684982
42,9.984794147969184e-07,9.984794147969184e-07,0.02677358692606627,0.5398178589546074,0.747457627118644,0.6025507392355315,0.6747404844290658,0.9397893772893773
43,9.965653456061468e-07,9.965653456061468e-07,0.02479151342758688,0.5204115460484715,0.752542372881356,0.48865665820230664,0.7785467128027682,0.9452838827838829
44,9.93885608644225e-07,9.93885608644225e-07,0.025054698241716723,0.5094341755923578,0.7686440677966102,0.5445904661627377,0.7231833910034602,0.9418498168498168
45,9.904443358713166e-07,9.904443358713166e-07,0.025056062468280228,0.5037701727980274,0.7754237288135594,0.5589363843099469,0.6955017301038062,0.9427655677655677
46,9.862468334806094e-07,9.862468334806094e-07,0.023132629326339495,0.4990850400116484,0.788135593220339,0.5563724962897779,0.7058823529411765,0.948489010989011
47,9.812995737165487e-07,9.812995737165487e-07,0.02473699347573822,0.49863062228186655,0.7864406779661017,0.50779809588792,0.7508650519031141,0.951007326007326
48,9.756101848951058e-07,9.756101848951058e-07,0.02406308557522499,0.4980857902664249,0.7703389830508475,0.4591408103807575,0.7958477508650519,0.9553571428571428
49,9.691874396414685e-07,9.691874396414685e-07,0.02261239693073903,0.4623209177437475,0.8135593220338984,0.49704648116055655,0.7647058823529411,0.9507783882783882
50,9.620412413632883e-07,9.620412413632883e-07,0.020848164896843796,0.4618637829513873,0.8194915254237288,0.46077045066133915,0.7923875432525952,0.9503205128205128
51,9.541826089803431e-07,9.541826089803431e-07,0.023611528135962404,0.4691485863620952,0.8110169491525424,0.5013282278417304,0.7474048442906575,0.9514652014652015
52,9.456236599341623e-07,9.456236599341623e-07,0.022290436285784688,0.4575976157592515,0.7974576271186441,0.48754406325957356,0.7647058823529411,0.9519230769230769
53,9.363775915038101e-07,9.363775915038101e-07,0.02079462487313707,0.4486826036946248,0.8220338983050848,0.4503183300932386,0.7993079584775087,0.9548992673992673
54,9.26458660456638e-07,9.26458660456638e-07,0.02095411763352863,0.4403927164562678,0.8186440677966101,0.45032447741518383,0.7923875432525952,0.9551282051282051
55,9.158821610653819e-07,9.158821610653819e-07,0.020585593104488768,0.43464462524753505,0.838135593220339,0.42681337227870847,0.8200692041522492,0.9562728937728938
56,9.046644015255036e-07,9.046644015255036e-07,0.021553203390942792,0.4365720389253002,0.8228813559322034,0.44097572833196513,0.8096885813148789,0.9565018315018315
57,8.928226788091338e-07,8.928226788091338e-07,0.01806949781790628,0.4033535432007353,0.861864406779661,0.40208549689256606,0.8269896193771626,0.9567307692307693
58,8.803752519943959e-07,8.803752519943959e-07,0.019229888660296544,0.4070116342629416,0.8576271186440678,0.39596627121565664,0.8304498269896193,0.9551282051282051
59,8.673413141112309e-07,8.673413141112309e-07,0.020279231276047433,0.4150007650003595,0.8254237288135593,0.3865857679126172,0.8304498269896193,0.9516941391941391
60,8.537409625471361e-07,8.537409625471361e-07,0.01986459048180762,0.40067273701651623,0.8635593220338983,0.4277628119841579,0.8096885813148789,0.9528388278388278
61,8.395951680584498e-07,8.395951680584498e-07,0.02000730718343945,0.40007385227639797,0.8406779661016949,0.4126289569382849,0.8166089965397924,0.9562728937728937
62,8.249257424349665e-07,8.249257424349665e-07,0.017010438448544277,0.38838813870640126,0.8584745762711864,0.3885096831305217,0.8304498269896193,0.9565018315018314
63,8.097553048677358e-07,8.097553048677358e-07,0.017765941417192,0.371622583522635,0.8745762711864407,0.4069962722207436,0.8200692041522492,0.9567307692307692
64,7.941072470719117e-07,7.941072470719117e-07,0.018556614965200426,0.3974964310557155,0.8355932203389831,0.3436422950256242,0.8581314878892734,0.9569597069597069
65,7.78005697218421e-07,7.78005697218421e-07,0.01956826367936397,0.3872660794500577,0.8559322033898306,0.38511609412394593,0.8235294117647058,0.9571886446886447
66,7.614754827300744e-07,7.614754827300744e-07,0.015939333570836964,0.3741833289801064,0.861864406779661,0.3081655630190892,0.8823529411764706,0.9603937728937729
67,7.44542091999479e-07,7.44542091999479e-07,0.01626191937632985,0.35693818209534983,0.8932203389830509,0.37552800083655385,0.8304498269896193,0.9578754578754579
68,7.272316350877851e-07,7.272316350877851e-07,0.016606463902329994,0.35849164209123385,0.8720338983050847,0.33813036952464226,0.8581314878892734,0.9592490842490843
69,7.095708034648631e-07,7.095708034648631e-07,0.014162970795217207,0.3387979062937074,0.8838983050847458,0.3199411890498495,0.8615916955017301,0.9617673992673993
70,6.91586828852993e-07,6.91586828852993e-07,0.017152845191816656,0.34073512917858056,0.8745762711864407,0.31842954296966736,0.8685121107266436,0.9631410256410258
71,6.733074412375222e-07,6.733074412375222e-07,0.015301373354711776,0.3527303400686232,0.8949152542372881,0.3078416482800018,0.8719723183391004,0.9597069597069597
72,6.54760826109237e-07,6.54760826109237e-07,0.01675713526053449,0.35414670766410183,0.8779661016949153,0.35167870657666744,0.8408304498269896,0.9601648351648351
73,6.359755810043798e-07,6.359755810043798e-07,0.016280958043821788,0.3505929668070906,0.8788135593220339,0.3520488083156335,0.8477508650519031,0.9590201465201464
74,6.169806714093203e-07,6.169806714093203e-07,0.019176492527506108,0.36556897971589686,0.8661016949152542,0.35158600485448605,0.8512110726643599,0.958562271062271
75,5.97805386097876e-07,5.97805386097876e-07,0.015623542617501344,0.3279593918283107,0.8966101694915254,0.3255484514582941,0.8581314878892734,0.9583333333333333
76,5.784792919701447e-07,5.784792919701447e-07,0.017978056195049972,0.33942773705821927,0.8915254237288136,0.3415960498334627,0.8442906574394463,0.9601648351648351
77,5.59032188462488e-07,5.59032188462488e-07,0.01765062779314437,0.33329987960346674,0.8864406779661017,0.29991635876130895,0.8788927335640139,0.9622252747252749
78,5.394940615989602e-07,5.394940615989602e-07,0.014583842775200383,0.33173012369770116,0.8872881355932203,0.3161201203776891,0.8650519031141869,0.960393772893773
79,5.198950377550338e-07,5.198950377550338e-07,0.01625884819649539,0.343335364228588,0.8711864406779661,0.30264894380701457,0.8788927335640139,0.9603937728937729
80,5.002653372049102e-07,5.002653372049102e-07,0.015726510015458373,0.3316220905821202,0.8898305084745762,0.29464068049790537,0.8823529411764706,0.961080586080586
81,4.806352275240487e-07,4.806352275240487e-07,0.014532419600350371,0.31559045860322854,0.9033898305084745,0.30777409105564896,0.8788927335640139,0.9606227106227107
82,4.610349769187583e-07,4.610349769187583e-07,0.01474710312372042,0.3347768774477102,0.8864406779661017,0.31000179402968464,0.8754325259515571,0.9608516483516484
83,4.4149480755481784e-07,4.4149480755481784e-07,0.013473346336918362,0.31765864016646045,0.885593220338983,0.31513310736850886,0.8685121107266436,0.9587912087912088
84,4.2204484895708714e-07,4.2204484895708714e-07,0.017259019247051012,0.3439325459932877,0.8694915254237288,0.3203308544150686,0.8615916955017301,0.958562271062271
85,4.027150915519624e-07,4.027150915519624e-07,0.014218531384811562,0.3074559275376595,0.9008474576271186,0.3134233679325935,0.8685121107266436,0.9592490842490843
86,3.8353534042431373e-07,3.8353534042431373e-07,0.015040596470363059,0.3121935442847721,0.9016949152542373,0.32748748686899365,0.8512110726643599,0.9594780219780219
87,3.64535169360204e-07,3.64535169360204e-07,0.012813452700689688,0.3034804207793737,0.9008474576271186,0.2920446078257577,0.8788927335640139,0.9603937728937728
88,3.457438752462538e-07,3.457438752462538e-07,0.01522888846663853,0.30562372126821746,0.8991525423728813,0.30423146424409014,0.8719723183391004,0.9615384615384615
89,3.271904328959672e-07,3.271904328959672e-07,0.015089405716349513,0.32186888779624034,0.9033898305084745,0.3039726713949421,0.8719723183391004,0.9613095238095237
90,3.089034503726676e-07,3.089034503726676e-07,0.014803671950505951,0.30331979909185636,0.902542372881356,0.2919075272487522,0.8754325259515571,0.9610805860805861
91,2.909111248779391e-07,2.909111248779391e-07,0.012874410917066922,0.302467185208353,0.8974576271186441,0.30973567187167367,0.8650519031141869,0.9624542124542124
92,2.7324119927358475e-07,2.7324119927358475e-07,0.011862632209214113,0.29765051865981795,0.9084745762711864,0.2899475796824921,0.8788927335640139,0.9624542124542124
93,2.559209193041448e-07,2.559209193041448e-07,0.01165583013730534,0.2857726285013102,0.9144067796610169,0.2744256827245534,0.8858131487889274,0.9617673992673992
94,2.389769915859334e-07,2.389769915859334e-07,0.013330698412669413,0.2869306509777651,0.9152542372881356,0.3129313358179838,0.8650519031141869,0.9617673992673992
95,2.224355424273714e-07,2.224355424273714e-07,0.014622432609104504,0.305510475372864,0.8966101694915254,0.2900395840922029,0.8754325259515571,0.9622252747252746
96,2.0632207754411295e-07,2.0632207754411295e-07,0.014928618995314938,0.30482525118326737,0.9016949152542373,0.30946563560657436,0.8615916955017301,0.9622252747252746
97,1.9066144273108131e-07,1.9066144273108131e-07,0.011953337867823193,0.2927472510580289,0.9050847457627119,0.29279879632705635,0.8754325259515571,0.9624542124542124
98,1.754777855520524e-07,1.754777855520524e-07,0.016553347879799746,0.3093837665299238,0.8983050847457628,0.3025639085002424,0.8615916955017301,0.9629120879120879
99,1.6079451810586276e-07,1.6079451810586276e-07,0.013866636468002857,0.30957843792640555,0.8923728813559322,0.2937605024209072,0.8719723183391004,0.9629120879120879
100,1.466342809266501e-07,1.466342809266501e-07,0.01339138001834942,0.29296687760595547,0.9110169491525424,0.2914628033819496,0.8719723183391004,0.9629120879120879
