epoch,lr_max,lr_min,train_focal_loss,train_bce,train_acc,val_bce,val_acc,val_auc
1,2.9955052721940786e-06,2.9955052721940786e-06,0.04678971824926022,0.7749607596897105,0.30017761989342806,0.8037771311460756,0.17254901960784313,0.6663306451612903
2,2.981791174828883e-06,2.981791174828883e-06,0.04299851090748187,0.7471708144006678,0.3703374777975133,0.8065862973531087,0.25098039215686274,0.7350230414746544
3,2.9589413421253003e-06,2.9589413421253003e-06,0.0359476166338946,0.6836924950987577,0.5088809946714032,0.693028409574546,0.5333333333333333,0.7921947004608295
4,2.9270966509002887e-06,2.9270966509002887e-06,0.03368738283060795,0.6456487661568352,0.6216696269982238,0.7148043330977945,0.5058823529411764,0.8335253456221199
5,2.8864534342646835e-06,2.8864534342646835e-06,0.03294894451252309,0.6200648284720697,0.6563055062166963,0.6945058039590424,0.5333333333333333,0.8254608294930875
6,2.837262271164286e-06,2.837262271164286e-06,0.028951858158751027,0.5816681253761847,0.7211367673179396,0.5733782038969152,0.7215686274509804,0.8293490783410138
7,2.7798264414773303e-06,2.7798264414773303e-06,0.027670741200341215,0.5519302191996871,0.7477797513321492,0.6410824584025963,0.6313725490196078,0.8195564516129032
8,2.7145000561931885e-06,2.7145000561931885e-06,0.025822020828935647,0.5114589241427596,0.7815275310834814,0.6188451720219033,0.6588235294117647,0.8212845622119815
9,2.641685874200365e-06,2.641685874200365e-06,0.01988511979182914,0.4603355952520354,0.8392539964476021,0.5021358613874398,0.7686274509803922,0.8171082949308756
10,2.561832819144018e-06,2.561832819144018e-06,0.024241254825416298,0.45012960663697227,0.8428063943161634,0.5208048250160965,0.7607843137254902,0.8207085253456221
11,2.4754332116624055e-06,2.4754332116624055e-06,0.02013593598485628,0.4357222368408054,0.8605683836589698,0.4662195240750032,0.7764705882352941,0.8361175115207373
12,2.383019734066436e-06,2.383019734066436e-06,0.02134349204427819,0.43693811431871216,0.8490230905861457,0.4732053248321309,0.7843137254901961,0.8247407834101383
13,2.2851621461760887e-06,2.2851621461760887e-06,0.019318293482329874,0.3873642723259663,0.8845470692717584,0.4763243592252918,0.7803921568627451,0.8293490783410138
14,2.1824637725616575e-06,2.1824637725616575e-06,0.01621729105406608,0.3651097558743153,0.8836589698046181,0.46468431260071547,0.7764705882352941,0.8297811059907834
15,2.0755577828471507e-06,2.0755577828471507e-06,0.016840442714031595,0.34630951645319247,0.88898756660746,0.42345808265255946,0.792156862745098,0.8362615207373272
16,1.9651032880090066e-06,1.9651032880090066e-06,0.018181835588226575,0.36278326245650094,0.8765541740674956,0.4544956097415849,0.7686274509803922,0.8361175115207373
17,1.851781276737749e-06,1.851781276737749e-06,0.014605437638651625,0.33067389999782637,0.9014209591474245,0.4462969660758972,0.7725490196078432,0.8385656682027649
18,1.7362904169162582e-06,1.7362904169162582e-06,0.01557162870879601,0.32373712668410415,0.9031971580817052,0.4067470355361116,0.8,0.8385656682027651
19,1.619342748099942e-06,1.619342748099942e-06,0.015838095644525322,0.32868863181682506,0.9067495559502664,0.41788550229633553,0.7843137254901961,0.8269009216589862
20,1.501659291556098e-06,1.501659291556098e-06,0.015944508943197253,0.31454188256238325,0.9005328596802842,0.37386494787300334,0.8196078431372549,0.8276209677419355
21,1.3839656049280412e-06,1.3839656049280412e-06,0.016005072173650905,0.31987677400743136,0.9040852575488455,0.39079834211106396,0.803921568627451,0.8303571428571429
22,1.266987308930954e-06,1.266987308930954e-06,0.014224397918857885,0.28985863773162157,0.9094138543516874,0.42991362366021846,0.7764705882352941,0.8312211981566819
23,1.1514456136588907e-06,1.1514456136588907e-06,0.013714503795057403,0.28780010498755776,0.9129662522202486,0.4245981256167094,0.7843137254901961,0.825028801843318
24,1.0380528720847154e-06,1.0380528720847154e-06,0.012699272956692516,0.2934531564716759,0.9040852575488455,0.3756844968188043,0.8196078431372549,0.8241647465437788
25,9.275081881671456e-07,9.275081881671456e-07,0.012815648893334409,0.27903111750130966,0.9156305506216696,0.39727640111072393,0.807843137254902,0.8212845622119815
26,8.204931066423707e-07,8.204931066423707e-07,0.01143487189527515,0.27693522251732183,0.9307282415630551,0.39630472040643877,0.807843137254902,0.8224366359447004
27,7.176674110741172e-07,7.176674110741172e-07,0.01331091180963187,0.2794954274941507,0.9280639431616341,0.40299086635019266,0.796078431372549,0.8209965437788019
28,6.196650560685772e-07,6.196650560685772e-07,0.013984153498804485,0.2841129222517539,0.91651865008881,0.40328281019248213,0.796078431372549,0.8158122119815668
29,5.270902587334484e-07,5.270902587334484e-07,0.011726014503008201,0.26018096903607013,0.9307282415630551,0.3864995632101508,0.8156862745098039,0.819844470046083
30,4.4051377347854714e-07,4.4051377347854714e-07,0.011746712839545195,0.2683274499264746,0.9298401420959147,0.3857731494249082,0.8117647058823529,0.8244527649769585
