row_type,C,fold,auc
per_fold,0.001,1,0.777746
per_fold,0.001,2,0.728547
per_fold,0.001,3,0.917048
per_fold,0.001,4,0.813397
per_fold,0.001,5,0.670455
per_fold,0.01,1,0.779176
per_fold,0.01,2,0.729119
per_fold,0.01,3,0.921625
per_fold,0.01,4,0.806818
per_fold,0.01,5,0.674342
per_fold,0.1,1,0.782037
per_fold,0.1,2,0.732551
per_fold,0.1,3,0.923913
per_fold,0.1,4,0.798445
per_fold,0.1,5,0.676136
per_fold,1.0,1,0.782323
per_fold,1.0,2,0.733124
per_fold,1.0,3,0.924199
per_fold,1.0,4,0.795754
per_fold,1.0,5,0.676734
per_fold,10.0,1,0.782609
per_fold,10.0,2,0.733124
per_fold,10.0,3,0.924199
per_fold,10.0,4,0.795754
per_fold,10.0,5,0.676734
summary,0.001,,0.781439±0.083114
summary,0.01,,0.782216±0.083073
summary,0.1,BEST,0.782616±0.082535
summary,1.0,,0.782427±0.082315
summary,10.0,,0.782484±0.082315
