row_type,C,fold,auc
per_fold,0.001,1,0.824657
per_fold,0.001,2,0.742849
per_fold,0.001,3,0.921625
per_fold,0.001,4,0.816388
per_fold,0.001,5,0.691687
per_fold,0.01,1,0.824371
per_fold,0.01,2,0.746281
per_fold,0.01,3,0.922483
per_fold,0.01,4,0.814593
per_fold,0.01,5,0.693182
per_fold,0.1,1,0.827517
per_fold,0.1,2,0.749142
per_fold,0.1,3,0.923627
per_fold,0.1,4,0.809809
per_fold,0.1,5,0.694677
per_fold,1.0,1,0.826945
per_fold,1.0,2,0.749142
per_fold,1.0,3,0.923913
per_fold,1.0,4,0.805024
per_fold,1.0,5,0.694378
per_fold,10.0,1,0.826945
per_fold,10.0,2,0.749142
per_fold,10.0,3,0.923913
per_fold,10.0,4,0.805024
per_fold,10.0,5,0.694677
summary,0.001,,0.799441±0.078314
summary,0.01,,0.800182±0.077595
summary,0.1,BEST,0.800954±0.077217
summary,1.0,,0.799880±0.077263
summary,10.0,,0.799940±0.077182
