epoch,lr_max,lr_min,train_focal_loss,train_bce,train_acc,val_bce,val_acc,val_auc
1,9.98502997302365e-06,9.985029973023652e-07,0.04872854708970248,0.7558508054677383,0.3956043956043956,0.884713012454419,0.10726643598615918,0.6607142857142858
2,9.939328817651946e-06,9.939328817651948e-07,0.04372858090988009,0.7314563221110529,0.4368131868131868,0.7573106478654802,0.356401384083045,0.7300824175824177
3,9.863175057625914e-06,9.863175057625914e-07,0.0415647788785207,0.7243672893160865,0.4716117216117216,0.7737826781289388,0.35986159169550175,0.7953296703296704
4,9.757038206199807e-06,9.757038206199808e-07,0.03971772354382735,0.6980332996382381,0.4981684981684982,0.6945778183046096,0.5155709342560554,0.8198260073260073
5,9.621572632356754e-06,9.621572632356756e-07,0.033907731565145344,0.6491573640715071,0.5897435897435898,0.6765031459834749,0.5536332179930796,0.8363095238095238
6,9.45761352640637e-06,9.457613526406372e-07,0.036419931976568135,0.6486906640695564,0.6089743589743589,0.782771652545071,0.38408304498269896,0.8326465201465201
7,9.266171750758776e-06,9.266171750758777e-07,0.03345382210522235,0.6352760359481141,0.6309523809523809,0.6879214671243846,0.5432525951557093,0.8491300366300366
8,9.048427607621689e-06,9.04842760762169e-07,0.030825051291412487,0.5891797180140849,0.6996336996336996,0.7672777658515323,0.4429065743944637,0.8516483516483516
9,8.805723562044825e-06,8.805723562044825e-07,0.029828330334753562,0.582950968445439,0.6877289377289377,0.6750454721153814,0.5813148788927336,0.8392857142857143
10,8.539555965176448e-06,8.539555965176449e-07,0.027460183620780378,0.5442446868716578,0.7326007326007326,0.6910352071676287,0.5605536332179931,0.8427197802197801
11,8.251565828760964e-06,8.251565828760964e-07,0.027529824265848588,0.5401326564205435,0.7408424908424909,0.7579660522896525,0.4913494809688581,0.8461538461538461
12,7.943528707755805e-06,7.943528707755806e-07,0.024290732964327485,0.5077434957245768,0.7710622710622711,0.602597019664144,0.6816608996539792,0.8475274725274725
13,7.617343753444712e-06,7.617343753444713e-07,0.025570549159532503,0.5236155648371239,0.7591575091575091,0.5600315221040719,0.7231833910034602,0.8511904761904762
14,7.275022004538515e-06,7.275022004538516e-07,0.021812946122862917,0.46418698137496417,0.7985347985347986,0.5803312896444723,0.7093425605536332,0.8651556776556776
15,6.918673988452753e-06,6.918673988452754e-07,0.022393048621523075,0.4717756789245885,0.7967032967032966,0.5719517444656794,0.698961937716263,0.8605769230769231
16,6.550496709204335e-06,6.550496709204335e-07,0.020825935616379694,0.4452409743171035,0.8232600732600732,0.5545689341931195,0.7093425605536332,0.850503663003663
17,6.172760102151195e-06,6.172760102151196e-07,0.02091634603073964,0.4428964643687992,0.8195970695970696,0.5156797104640816,0.754325259515571,0.8390567765567766
18,5.787793039085987e-06,5.787793039085988e-07,0.02081863687547681,0.42809712002565575,0.8214285714285714,0.5406921107876259,0.7197231833910035,0.8424908424908425
19,5.397968969967044e-06,5.397968969967045e-07,0.019950388432668022,0.4283643310323303,0.8424908424908425,0.6171474836276889,0.6470588235294118,0.8372252747252746
20,5.005691289810143e-06,5.005691289810143e-07,0.01820911084312004,0.40833175226008933,0.8434065934065934,0.5915506529560551,0.671280276816609,0.8431776556776557
21,4.613378520959016e-06,4.6133785209590167e-07,0.017151049802236723,0.4067316914434398,0.8516483516483516,0.550326894311344,0.7162629757785467,0.8466117216117216
22,4.223449402090866e-06,4.223449402090867e-07,0.014814446888345502,0.3721159759895269,0.8745421245421245,0.5061960682324472,0.7647058823529411,0.8406593406593407
23,3.838307975888102e-06,3.8383079758881024e-07,0.016727960553794635,0.3747238715489705,0.8791208791208791,0.4522004073878886,0.8027681660899654,0.8388278388278388
24,3.4603287673157866e-06,3.460328767315787e-07,0.016386088342047654,0.3819968614167783,0.8608058608058609,0.47741005577430595,0.7750865051903114,0.8385989010989011
25,3.091842143885609e-06,3.091842143885609e-07,0.014794724895328884,0.35938833572052337,0.8836996336996337,0.44192001666989705,0.7958477508650519,0.8420329670329669
26,2.7351199481652525e-06,2.7351199481652525e-07,0.01628856167824932,0.3553992935589382,0.88003663003663,0.4472600304131689,0.7993079584775087,0.8408882783882784
27,2.392361491113501e-06,2.3923614911135013e-07,0.014200682942874921,0.35176657473211326,0.8901098901098901,0.4808343859279857,0.7647058823529411,0.8459249084249084
28,2.065679992596831e-06,2.0656799925968315e-07,0.014867251588802635,0.3516760929163559,0.8809523809523809,0.4504949108127079,0.7993079584775087,0.8456959706959707
29,1.7570895526862202e-06,1.7570895526862204e-07,0.011808389947910012,0.32361229129763314,0.9102564102564102,0.4578095369272991,0.7889273356401384,0.8479853479853479
30,1.4684927340604516e-06,1.4684927340604518e-07,0.013498135695691074,0.33116973145104156,0.8901098901098901,0.4602221609399393,0.7854671280276817,0.8498168498168499
31,1.2016688320745335e-06,1.2016688320745334e-07,0.014348264974661363,0.33947821327181527,0.8873626373626373,0.44827048753784604,0.7923875432525952,0.8461538461538461
32,9.5826290481216e-07,9.582629048121601e-08,0.012517280729944671,0.32451367247235646,0.9038461538461539,0.45684681425457596,0.7889273356401384,0.8477564102564104
33,7.397756307555886e-07,7.397756307555888e-08,0.011562933905677863,0.31789064478306545,0.913003663003663,0.4281625898239109,0.8096885813148789,0.8495879120879122
34,5.475540566037685e-07,5.475540566037685e-08,0.013678027990686915,0.3160783803506649,0.9038461538461539,0.4332501628407145,0.8096885813148789,0.8479853479853481
35,3.8278329228150613e-07,3.8278329228150617e-08,0.011890560944629458,0.31575648153657876,0.9111721611721612,0.43762740936246297,0.8062283737024222,0.8472985347985349
36,2.4647920434268723e-07,2.4647920434268727e-08,0.014092002012818069,0.3285775495754493,0.9047619047619048,0.44543966681899494,0.7923875432525952,0.8472985347985349
37,1.3948215281516352e-07,1.3948215281516354e-08,0.011934694745356128,0.3160739506666477,0.9029304029304029,0.45008150433999033,0.7854671280276817,0.8470695970695972
38,6.245181010173184e-08,6.2451810101731854e-09,0.012475825610805999,0.31450861670595387,0.9102564102564102,0.45318988903996027,0.7854671280276817,0.8470695970695972
39,1.5863093880408852e-08,1.5863093880408854e-09,0.013598961160337424,0.3300725377195484,0.8956043956043956,0.4528556794031269,0.7854671280276817,0.8470695970695972
40,3.2390790194458677e-12,3.239079019445868e-13,0.012607194920397328,0.3200186706069625,0.9084249084249084,0.4528353191577027,0.7854671280276817,0.8470695970695972
41,9.996256091570881e-06,9.996256091570882e-07,0.012916588202722698,0.3250246838335589,0.9010989010989011,0.48074144454975853,0.7681660899653979,0.8443223443223443
42,9.984809128154244e-06,9.984809128154245e-07,0.014236415796077404,0.3210060333375966,0.8864468864468864,0.3589047981381004,0.8719723183391004,0.8532509157509158
43,9.965675950368165e-06,9.965675950368167e-07,0.014519276363082612,0.3152523809846068,0.8836996336996337,0.38194392874166627,0.8200692041522492,0.853937728937729
44,9.938886060185993e-06,9.938886060185995e-07,0.013323045791137023,0.3114782329444047,0.9084249084249084,0.5072981358399441,0.7508650519031141,0.8443223443223443
45,9.904480765676617e-06,9.904480765676618e-07,0.009892628367840151,0.2856584072877199,0.9175824175824175,0.4741598427501929,0.7577854671280276,0.8569139194139195
46,9.862513117310424e-06,9.862513117310425e-07,0.013644072206711376,0.3001400400430728,0.8983516483516484,0.421270955805135,0.8096885813148789,0.8411172161172161
47,9.813047826159319e-06,9.813047826159319e-07,0.009443588969348878,0.262938733175124,0.9294871794871795,0.46882654700724724,0.7750865051903114,0.8468406593406593
48,9.756161164116941e-06,9.756161164116943e-07,0.011191768025904348,0.26156725191371344,0.9267399267399268,0.3717054884532744,0.8269896193771626,0.8518772893772893
49,9.691940846292936e-06,9.691940846292937e-07,0.008990616157255221,0.23950190367279472,0.9478021978021978,0.4011603325708515,0.8062283737024222,0.8523351648351648
50,9.620485895762601e-06,9.620485895762603e-07,0.00798243167895428,0.22686497337652214,0.9386446886446886,0.4025714628424199,0.8062283737024222,0.8404304029304029
51,9.5419064908805e-06,9.5419064908805e-07,0.010193114047835926,0.2366720690177037,0.9313186813186813,0.40539412824340343,0.8131487889273357,0.841117216117216
52,9.45632379539341e-06,9.456323795393411e-07,0.009892636267024846,0.22682110932502117,0.9304029304029304,0.4523565697010001,0.7854671280276817,0.8353937728937728
