epoch,lr_max,lr_min,train_focal_loss,train_bce,train_acc,val_bce,val_acc,val_auc
1,9.985311543810433e-06,9.985311543810435e-07,0.05431084278052163,0.7647041414707053,0.38714499252615847,0.8415656337454983,0.1187214611872146,0.6288944723618091
2,9.939895726375527e-06,9.939895726375528e-07,0.04931879345388868,0.7534809549114986,0.3632286995515695,0.8186691297243719,0.1689497716894977,0.7032663316582914
3,9.864023809105497e-06,9.864023809105498e-07,0.04941388446787548,0.7586450397701007,0.37070254110612855,0.7847575382010578,0.2146118721461187,0.7165829145728643
4,9.758163567600283e-06,9.758163567600283e-07,0.047352663103507775,0.7393158902323655,0.3976083707025411,0.7989430797698835,0.2009132420091324,0.7437185929648241
5,9.622967665450865e-06,9.622967665450867e-07,0.04331905616416703,0.7071793951617584,0.4857997010463378,0.7091996547293989,0.4611872146118721,0.7354271356783919
6,9.459269630351197e-06,9.459269630351199e-07,0.04405454915401112,0.7042592356735994,0.484304932735426,0.7034267951908721,0.4748858447488584,0.7459798994974874
7,9.268078715122789e-06,9.26807871512279e-07,0.03859675359342843,0.6676650790355665,0.5620328849028401,0.642621134786301,0.684931506849315,0.7487437185929648
8,9.050573675335453e-06,9.050573675335454e-07,0.0366896304993797,0.6388343208217478,0.6143497757847534,0.6440722308202421,0.6666666666666666,0.7374371859296484
9,8.808095501887244e-06,8.808095501887245e-07,0.03726336954130898,0.6384130459729866,0.6457399103139013,0.587612723923165,0.7534246575342466,0.764070351758794
10,8.542139153349648e-06,8.542139153349648e-07,0.03789850451074463,0.6397612275742273,0.6412556053811659,0.5730015915822765,0.7488584474885844,0.7904522613065327
11,8.254344339050853e-06,8.254344339050853e-07,0.033068695026261925,0.594823920584224,0.6905829596412556,0.512880430101804,0.8264840182648402,0.764572864321608
12,7.946485409722503e-06,7.946485409722503e-07,0.032353669210087914,0.5850027082390493,0.70254110612855,0.48663376727604973,0.8356164383561644,0.7773869346733668
