epoch,lr_max,lr_min,train_focal_loss,train_bce,train_acc,val_bce,val_acc,val_auc
1,1.9970527522269204e-05,1.9970527522269206e-06,0.04749542499755646,0.713621223639775,0.4727272727272727,0.6688766627642461,0.5953757225433526,0.6973392461197339
2,1.9879598657693894e-05,1.9879598657693895e-06,0.045135986054693905,0.6970567718252435,0.5062937062937063,0.6606129480235149,0.630057803468208,0.7014042867701404
3,1.972775878209397e-05,1.972775878209397e-06,0.03934921077289781,0.6559736863716499,0.5888111888111888,0.6179789869771527,0.7109826589595376,0.6781226903178124
4,1.9515944038794384e-05,1.9515944038794385e-06,0.035151297817905464,0.6030422770060025,0.6727272727272727,0.5783660842504116,0.7341040462427746,0.6670362158167036
5,1.9245460336123136e-05,1.9245460336123137e-06,0.03109205972168829,0.5360156872055747,0.7636363636363637,0.6004950104421274,0.6936416184971098,0.6646341463414634
6,1.8917975296052143e-05,1.8917975296052144e-06,0.03009459833008843,0.5318586481201065,0.7482517482517482,0.5779646781483138,0.7167630057803468,0.6670362158167037
7,1.8535507972753275e-05,1.8535507972753277e-06,0.025907916881769272,0.4837865169231708,0.7986013986013986,0.5905788595965832,0.6820809248554913,0.6681448632668144
8,1.8100416404457962e-05,1.8100416404457963e-06,0.024558011074452758,0.45189223422870767,0.806993006993007,0.5602055221279233,0.7167630057803468,0.6561345158906134
9,1.761538307536737e-05,1.7615383075367372e-06,0.021016433358296647,0.41188778706363866,0.8447552447552448,0.5976859443105025,0.6589595375722543,0.6624168514412417
10,1.708339837724529e-05,1.7083398377245291e-06,0.02010527469374083,0.3943266749798835,0.8475524475524475,0.571400255998435,0.7109826589595376,0.6557649667405765
11,1.650774217265851e-05,1.6507742172658511e-06,0.01886531564478691,0.36564754768685026,0.8573426573426574,0.549765307090186,0.7514450867052023,0.6544715447154472
12,1.5891963573533424e-05,1.5891963573533425e-06,0.01793826784339401,0.3434331427087317,0.8741258741258742,0.5824392169197171,0.7052023121387283,0.6613082039911309
13,1.5239859059700792e-05,1.5239859059700793e-06,0.012588199733437357,0.2994131128479551,0.9062937062937063,0.5705080928140982,0.7398843930635838,0.6511456023651145
14,1.4555449072335157e-05,1.4555449072335158e-06,0.016559099676934155,0.30748617182244786,0.8909090909090909,0.5953266377738445,0.7052023121387283,0.6454175905395417
15,1.3842953226598036e-05,1.3842953226598037e-06,0.011834097466060331,0.2813539284926194,0.9174825174825175,0.5954482503709077,0.7341040462427746,0.6402439024390243
16,1.310676429630732e-05,1.310676429630732e-06,0.012398025936648979,0.28291172233078027,0.916083916083916,0.6087728344291621,0.7225433526011561,0.6167775314116777
17,1.23514211310259e-05,1.2351421131025901e-06,0.009689149643470358,0.24785050933177655,0.9258741258741259,0.6122578429004361,0.7341040462427746,0.6348854397634885
18,1.1581580672544839e-05,1.158158067254484e-06,0.008661001829521639,0.2234404342991489,0.9398601398601398,0.6234514103459485,0.7225433526011561,0.6328529194382853
19,1.0801989243288588e-05,1.080198924328859e-06,0.007558678246715425,0.2032418821554084,0.9594405594405594,0.645310626036859,0.7225433526011561,0.6215816703621582
20,1.0017453283658986e-05,1.0017453283658987e-06,0.011777580037087827,0.25148801916129104,0.9286713286713286,0.6461915409978415,0.7514450867052023,0.6254619364375462
21,9.232809718731817e-06,9.232809718731817e-07,0.008782362346732794,0.19845140320020957,0.9398601398601398,0.6453369733570629,0.7514450867052023,0.6180709534368071
