row_type,C,fold,auc
per_fold,0.001,1,0.862128
per_fold,0.001,2,0.800057
per_fold,0.001,3,0.926487
per_fold,0.001,4,0.900120
per_fold,0.001,5,0.770634
per_fold,0.01,1,0.862414
per_fold,0.01,2,0.807208
per_fold,0.01,3,0.922769
per_fold,0.01,4,0.893242
per_fold,0.01,5,0.779306
per_fold,0.1,1,0.855835
per_fold,0.1,2,0.817506
per_fold,0.1,3,0.914474
per_fold,0.1,4,0.891746
per_fold,0.1,5,0.788278
per_fold,1.0,1,0.854691
per_fold,1.0,2,0.819794
per_fold,1.0,3,0.911613
per_fold,1.0,4,0.892344
per_fold,1.0,5,0.789773
per_fold,10.0,1,0.854405
per_fold,10.0,2,0.819794
per_fold,10.0,3,0.910183
per_fold,10.0,4,0.892045
per_fold,10.0,5,0.790670
summary,0.001,,0.851885±0.058796
summary,0.01,,0.852988±0.053110
summary,0.1,,0.853568±0.046337
summary,1.0,BEST,0.853643±0.044910
summary,10.0,,0.853419±0.044234
