row_type,C,fold,auc
per_fold,0.001,1,0.907037
per_fold,0.001,2,0.903604
per_fold,0.001,3,0.895595
per_fold,0.001,4,0.933014
per_fold,0.001,5,0.796651
per_fold,0.01,1,0.905892
per_fold,0.01,2,0.909611
per_fold,0.01,3,0.893593
per_fold,0.01,4,0.930323
per_fold,0.01,5,0.797249
per_fold,0.1,1,0.901888
per_fold,0.1,2,0.911899
per_fold,0.1,3,0.894451
per_fold,0.1,4,0.928230
per_fold,0.1,5,0.794258
per_fold,1.0,1,0.900458
per_fold,1.0,2,0.911899
per_fold,1.0,3,0.893879
per_fold,1.0,4,0.927033
per_fold,1.0,5,0.793660
per_fold,10.0,1,0.899600
per_fold,10.0,2,0.911899
per_fold,10.0,3,0.894165
per_fold,10.0,4,0.927033
per_fold,10.0,5,0.792763
summary,0.001,,0.887180±0.046971
summary,0.01,BEST,0.887334±0.046569
summary,0.1,,0.886145±0.047317
summary,1.0,,0.885386±0.047224
summary,10.0,,0.885092±0.047529
