row_type,C,fold,auc
per_fold,0.001,1,0.891876
per_fold,0.001,2,0.805778
per_fold,0.001,3,0.938787
per_fold,0.001,4,0.926435
per_fold,0.001,5,0.801435
per_fold,0.01,1,0.885870
per_fold,0.01,2,0.808638
per_fold,0.01,3,0.941076
per_fold,0.01,4,0.924043
per_fold,0.01,5,0.802033
per_fold,0.1,1,0.877860
per_fold,0.1,2,0.810069
per_fold,0.1,3,0.941362
per_fold,0.1,4,0.921950
per_fold,0.1,5,0.803828
per_fold,1.0,1,0.875572
per_fold,1.0,2,0.809783
per_fold,1.0,3,0.940217
per_fold,1.0,4,0.920455
per_fold,1.0,5,0.804127
per_fold,10.0,1,0.874714
per_fold,10.0,2,0.809783
per_fold,10.0,3,0.939931
per_fold,10.0,4,0.920455
per_fold,10.0,5,0.804127
summary,0.001,BEST,0.872862±0.058617
summary,0.01,,0.872332±0.057588
summary,0.1,,0.871014±0.056247
summary,1.0,,0.870031±0.055628
summary,10.0,,0.869802±0.055540
