row_type,C,fold,auc
per_fold,0.001,1,0.903890
per_fold,0.001,2,0.854405
per_fold,0.001,3,0.937643
per_fold,0.001,4,0.932715
per_fold,0.001,5,0.802632
per_fold,0.01,1,0.899886
per_fold,0.01,2,0.857838
per_fold,0.01,3,0.936499
per_fold,0.01,4,0.935706
per_fold,0.01,5,0.804127
per_fold,0.1,1,0.895309
per_fold,0.1,2,0.856407
per_fold,0.1,3,0.935927
per_fold,0.1,4,0.938995
per_fold,0.1,5,0.809809
per_fold,1.0,1,0.897025
per_fold,1.0,2,0.856121
per_fold,1.0,3,0.934783
per_fold,1.0,4,0.937799
per_fold,1.0,5,0.808612
per_fold,10.0,1,0.896453
per_fold,10.0,2,0.856407
per_fold,10.0,3,0.935069
per_fold,10.0,4,0.937799
per_fold,10.0,5,0.808612
summary,0.001,,0.886257±0.051220
summary,0.01,,0.886811±0.050412
summary,0.1,BEST,0.887289±0.049113
summary,1.0,,0.886868±0.049117
summary,10.0,,0.886868±0.049114
