row_type,C,fold,auc
per_fold,0.001,1,0.854405
per_fold,0.001,2,0.775744
per_fold,0.001,3,0.844394
per_fold,0.001,4,0.883373
per_fold,0.001,5,0.782297
per_fold,0.01,1,0.852403
per_fold,0.01,2,0.782323
per_fold,0.01,3,0.843535
per_fold,0.01,4,0.881280
per_fold,0.01,5,0.787081
per_fold,0.1,1,0.849256
per_fold,0.1,2,0.787471
per_fold,0.1,3,0.841247
per_fold,0.1,4,0.883672
per_fold,0.1,5,0.782596
per_fold,1.0,1,0.848970
per_fold,1.0,2,0.788330
per_fold,1.0,3,0.841247
per_fold,1.0,4,0.883373
per_fold,1.0,5,0.779904
per_fold,10.0,1,0.848970
per_fold,10.0,2,0.788330
per_fold,10.0,3,0.840675
per_fold,10.0,4,0.883373
per_fold,10.0,5,0.779306
summary,0.001,,0.828042±0.042075
summary,0.01,BEST,0.829324±0.038542
summary,0.1,,0.828849±0.038541
summary,1.0,,0.828365±0.038904
summary,10.0,,0.828131±0.039016
