bin_lower,bin_upper,bin_mid,n_samples,acc_calib,conf_calib,diagonal,gap_calib,acc_uncal,conf_uncal
0.0,0.1,0.05,828,0.036232,0.04219,0.05,-0.005958,0.04058,0.043721
0.1,0.2,0.15,187,0.064171,0.143672,0.15,-0.079501,0.053004,0.138029
0.2,0.3,0.25,92,0.195652,0.247699,0.25,-0.052046,0.115702,0.245598
0.3,0.4,0.35,67,0.164179,0.342919,0.35,-0.17874,0.192308,0.350207
0.4,0.5,0.45,44,0.227273,0.449938,0.45,-0.222665,0.195652,0.450589
0.5,0.6,0.55,34,0.323529,0.548104,0.55,-0.224574,0.289474,0.548189
0.6,0.7,0.65,38,0.263158,0.658367,0.65,-0.395209,0.227273,0.646549
0.7,0.8,0.75,35,0.457143,0.742796,0.75,-0.285653,0.612903,0.753958
0.8,0.9,0.85,28,0.642857,0.847073,0.85,-0.204216,0.647059,0.852339
0.9,1.0,0.95,28,0.714286,0.943085,0.95,-0.228799,0.8125,0.933571
