epoch,train_loss_mean,train_loss_sd,val_loss_mean,val_loss_sd,train_acc_mean,train_acc_sd,val_acc_mean,val_acc_sd
1,0.052714,0.003465,0.813038,0.083792,0.349547,0.03491,0.248084,0.205881
2,0.047474,0.002008,0.785527,0.0703,0.3415,0.035472,0.280409,0.160804
3,0.045408,0.001714,0.752968,0.060413,0.392538,0.056156,0.362595,0.165952
4,0.04335,0.002896,0.755697,0.064998,0.454506,0.064968,0.395067,0.161149
5,0.040775,0.00261,0.712421,0.06827,0.544041,0.071232,0.517609,0.167638
6,0.040488,0.003546,0.731707,0.12617,0.565419,0.077637,0.48236,0.250739
7,0.039552,0.002908,0.707753,0.071467,0.593061,0.068873,0.527793,0.151495
8,0.036451,0.004339,0.691345,0.077642,0.627929,0.066449,0.539821,0.155439
9,0.035031,0.002498,0.663617,0.098068,0.675918,0.058554,0.619073,0.173352
10,0.034291,0.003338,0.661958,0.084805,0.696474,0.053763,0.599399,0.151476
11,0.033784,0.003554,0.63774,0.061149,0.693101,0.067282,0.628142,0.095633
12,0.031961,0.002927,0.614861,0.06071,0.734894,0.041266,0.660542,0.118015
13,0.031297,0.002723,0.627913,0.078768,0.732035,0.028127,0.639808,0.137569
14,0.028995,0.00378,0.595702,0.066878,0.757879,0.042519,0.681658,0.108129
15,0.028707,0.003943,0.614783,0.084696,0.772674,0.05259,0.657485,0.13327
16,0.029167,0.004167,0.59095,0.056286,0.750424,0.044967,0.690449,0.102098
17,0.027064,0.00437,0.591677,0.064401,0.786181,0.046562,0.686207,0.10105
18,0.026972,0.004848,0.560009,0.058075,0.792351,0.045362,0.734686,0.083464
19,0.025375,0.005258,0.587924,0.055235,0.801625,0.061529,0.704117,0.075826
20,0.023931,0.004772,0.546922,0.036102,0.809654,0.05146,0.750625,0.051451
21,0.024776,0.004343,0.551952,0.037155,0.82666,0.041778,0.749449,0.037649
22,0.023578,0.004635,0.530008,0.048256,0.816041,0.044778,0.776162,0.050362
23,0.022121,0.004682,0.524943,0.049851,0.829491,0.051828,0.767841,0.057374
24,0.024044,0.004476,0.527799,0.041451,0.833504,0.038636,0.766543,0.053232
25,0.021604,0.005296,0.538841,0.046718,0.845079,0.042936,0.746398,0.055748
26,0.022566,0.004329,0.534712,0.050946,0.827551,0.052032,0.752581,0.052262
27,0.023054,0.004488,0.531939,0.036379,0.829118,0.047715,0.755919,0.036657
28,0.021917,0.004257,0.521965,0.043179,0.83284,0.044943,0.772613,0.049585
29,0.021794,0.003697,0.533267,0.040046,0.842237,0.037753,0.753283,0.041993
30,0.021935,0.004854,0.527135,0.042174,0.836678,0.05781,0.763654,0.047408
31,0.021209,0.004265,0.527575,0.042767,0.846311,0.042334,0.75515,0.04399
32,0.020367,0.005322,0.521922,0.035578,0.853897,0.04869,0.766754,0.040557
33,0.021276,0.004551,0.527436,0.042465,0.843541,0.043608,0.755233,0.046974
34,0.018235,0.002261,0.519827,0.052857,0.864981,0.037919,0.759534,0.041387
35,0.017392,0.005113,0.514924,0.064348,0.885081,0.043845,0.763143,0.065592
36,0.016897,0.00474,0.514757,0.063403,0.880105,0.046925,0.763143,0.065592
37,0.016966,,0.56331,,0.899301,,0.710983,
38,0.014788,,0.563606,,0.897902,,0.710983,
39,0.015305,,0.564128,,0.899301,,0.710983,
