bin_lower,bin_upper,bin_mid,n_samples,acc_calib,conf_calib,diagonal,gap_calib,acc_uncal,conf_uncal
0.0,0.1,0.05,245,0.044898,0.052488,0.05,-0.00759,0.08,0.076805
0.1,0.2,0.15,168,0.071429,0.150678,0.15,-0.079249,0.058824,0.159918
0.2,0.3,0.25,133,0.135338,0.248169,0.25,-0.112831,0.073171,0.248808
0.3,0.4,0.35,96,0.09375,0.344654,0.35,-0.250904,0.1,0.349335
0.4,0.5,0.45,66,0.19697,0.448664,0.45,-0.251694,0.137405,0.446505
0.5,0.6,0.55,59,0.186441,0.552334,0.55,-0.365893,0.228261,0.548254
0.6,0.7,0.65,51,0.333333,0.64896,0.65,-0.315626,0.290909,0.645236
0.7,0.8,0.75,40,0.275,0.751773,0.75,-0.476773,0.384615,0.746602
0.8,0.9,0.85,23,0.434783,0.84425,0.85,-0.409467,0.714286,0.838018
0.9,1.0,0.95,7,0.428571,0.93902,0.95,-0.510449,,
