VGG16_RECALL(X),VGG16_PRECISION(Y),EffNetB0_RECALL(X),EffNetB0_PRECISION(Y),SwinT_RECALL(X),SwinT_PRECISION(Y)
0.0,1.0,0.0,1.0,0.0,1.0
0.047619,1.0,0.047619,1.0,0.047619,1.0
0.095238,1.0,0.095238,1.0,0.095238,1.0
0.142857,1.0,0.142857,1.0,0.142857,1.0
0.190476,0.8,0.190476,1.0,0.190476,1.0
0.190476,1.0,0.238095,1.0,0.238095,1.0
0.238095,0.833333,0.285714,1.0,0.285714,1.0
0.285714,0.857143,0.333333,1.0,0.333333,1.0
0.333333,0.875,0.380952,1.0,0.380952,1.0
0.333333,0.777778,0.380952,0.888889,0.380952,0.888889
0.333333,0.7,0.380952,0.8,0.380952,0.8
0.380952,0.727273,0.428571,0.818182,0.428571,0.818182
0.380952,0.666667,0.428571,0.75,0.428571,0.75
0.380952,0.615385,0.47619,0.769231,0.428571,0.692308
0.380952,0.571429,0.47619,0.714286,0.47619,0.714286
0.428571,0.5625,0.47619,0.666667,0.47619,0.666667
0.428571,0.6,0.52381,0.611111,0.52381,0.6875
0.47619,0.588235,0.52381,0.647059,0.571429,0.666667
0.52381,0.611111,0.52381,0.6875,0.571429,0.631579
0.52381,0.578947,0.571429,0.631579,0.571429,0.705882
0.571429,0.6,0.571429,0.6,0.619048,0.65
0.571429,0.571429,0.619048,0.619048,0.619048,0.619048
0.619048,0.590909,0.619048,0.590909,0.619048,0.590909
0.619048,0.565217,0.619048,0.565217,0.619048,0.565217
0.619048,0.541667,0.619048,0.541667,0.619048,0.541667
0.619048,0.52,0.619048,0.52,0.666667,0.56
0.619048,0.5,0.666667,0.4,0.666667,0.538462
0.619048,0.481481,0.666667,0.411765,0.714286,0.555556
0.619048,0.464286,0.666667,0.424242,0.714286,0.535714
0.619048,0.448276,0.666667,0.4375,0.761905,0.5
0.666667,0.451613,0.666667,0.451613,0.761905,0.516129
0.666667,0.466667,0.666667,0.482759,0.761905,0.551724
0.714286,0.375,0.666667,0.538462,0.761905,0.533333
0.714286,0.384615,0.666667,0.466667,0.809524,0.5
0.714286,0.394737,0.666667,0.5,0.809524,0.515152
0.714286,0.405405,0.666667,0.518519,0.857143,0.514286
0.714286,0.46875,0.714286,0.416667,0.857143,0.5
0.714286,0.428571,0.714286,0.405405,0.857143,0.486486
0.714286,0.441176,0.714286,0.394737,0.857143,0.473684
0.714286,0.454545,0.714286,0.384615,0.857143,0.461538
0.714286,0.416667,0.761905,0.4,0.857143,0.45
0.761905,0.313725,0.809524,0.395349,0.857143,0.439024
0.761905,0.32,0.809524,0.414634,0.904762,0.358491
0.761905,0.333333,0.809524,0.404762,0.904762,0.351852
0.761905,0.340426,0.857143,0.339623,0.904762,0.327586
0.761905,0.326531,0.857143,0.310345,0.904762,0.339286
0.761905,0.355556,0.857143,0.315789,0.904762,0.333333
0.761905,0.363636,0.857143,0.321429,0.904762,0.365385
0.761905,0.372093,0.857143,0.327273,0.904762,0.345455
0.761905,0.380952,0.857143,0.333333,0.904762,0.372549
0.761905,0.390244,0.857143,0.346154,0.904762,0.404255
0.761905,0.347826,0.857143,0.382979,0.904762,0.387755
0.809524,0.326923,0.857143,0.36,0.904762,0.395833
0.857143,0.339623,0.857143,0.367347,0.904762,0.322034
0.857143,0.333333,0.857143,0.375,0.904762,0.422222
0.857143,0.327273,0.857143,0.305085,0.904762,0.431818
0.857143,0.321429,0.857143,0.4,0.904762,0.44186
0.857143,0.315789,0.857143,0.409091,0.904762,0.452381
0.857143,0.310345,0.857143,0.352941,0.904762,0.38
0.857143,0.305085,0.857143,0.391304,0.904762,0.413043
0.857143,0.3,0.857143,0.3,0.904762,0.316667
0.857143,0.290323,0.857143,0.290323,0.952381,0.322581
0.857143,0.295082,0.857143,0.285714,0.952381,0.327869
0.857143,0.285714,0.857143,0.28125,0.952381,0.222222
0.904762,0.296875,0.857143,0.276923,0.952381,0.224719
0.904762,0.256757,0.857143,0.272727,0.952381,0.227273
0.904762,0.260274,0.857143,0.295082,0.952381,0.229885
0.904762,0.267606,0.904762,0.260274,0.952381,0.232558
0.904762,0.271429,0.904762,0.263889,0.952381,0.235294
0.904762,0.263889,0.904762,0.267606,0.952381,0.238095
0.904762,0.279412,0.904762,0.275362,0.952381,0.240964
0.904762,0.283582,0.904762,0.279412,0.952381,0.243902
0.904762,0.287879,0.904762,0.283582,0.952381,0.246914
0.904762,0.292308,0.904762,0.271429,0.952381,0.25
0.904762,0.275362,0.952381,0.208333,0.952381,0.253165
0.952381,0.206186,0.952381,0.217391,0.952381,0.25641
0.952381,0.215054,0.952381,0.215054,0.952381,0.21978
0.952381,0.212766,0.952381,0.212766,0.952381,0.263158
0.952381,0.210526,0.952381,0.210526,0.952381,0.25974
0.952381,0.208333,0.952381,0.206186,0.952381,0.3125
0.952381,0.204082,0.952381,0.194175,0.952381,0.307692
0.952381,0.192308,0.952381,0.20202,0.952381,0.30303
0.952381,0.2,0.952381,0.2,0.952381,0.298507
0.952381,0.19802,0.952381,0.19802,0.952381,0.294118
0.952381,0.196078,0.952381,0.196078,0.952381,0.31746
0.952381,0.194175,0.952381,0.192308,0.952381,0.285714
0.952381,0.217391,0.952381,0.204082,0.952381,0.28169
0.952381,0.188679,0.952381,0.222222,0.952381,0.277778
0.952381,0.20202,0.952381,0.21978,0.952381,0.273973
0.952381,0.190476,0.952381,0.227273,0.952381,0.27027
0.952381,0.21978,0.952381,0.224719,0.952381,0.289855
0.952381,0.224719,0.952381,0.27027,0.952381,0.266667
0.952381,0.222222,0.952381,0.266667,1.0,0.194444
0.952381,0.263158,0.952381,0.263158,1.0,0.192661
0.952381,0.25974,0.952381,0.25974,1.0,0.190909
0.952381,0.25641,0.952381,0.253165,1.0,0.189189
0.952381,0.253165,0.952381,0.25,1.0,0.1875
0.952381,0.25,0.952381,0.25641,1.0,0.182609
0.952381,0.246914,0.952381,0.243902,1.0,0.184211
0.952381,0.266667,0.952381,0.240964,1.0,0.181034
0.952381,0.240964,0.952381,0.238095,1.0,0.179487
0.952381,0.238095,0.952381,0.235294,1.0,0.177966
0.952381,0.235294,0.952381,0.232558,1.0,0.196262
0.952381,0.232558,0.952381,0.229885,1.0,0.185841
0.952381,0.229885,0.952381,0.246914,1.0,0.198113
0.952381,0.227273,1.0,0.184211,1.0,0.212121
0.952381,0.243902,1.0,0.177966,1.0,0.201923
1.0,0.177966,1.0,0.179487,1.0,0.203883
1.0,0.179487,1.0,0.181034,1.0,0.205882
1.0,0.181034,1.0,0.182609,1.0,0.207921
1.0,0.182609,1.0,0.185841,1.0,0.21
1.0,0.184211,1.0,0.2,1.0,0.214286
1.0,0.190909,1.0,0.189189,1.0,0.216495
1.0,0.1875,1.0,0.190909,1.0,0.21875
1.0,0.189189,1.0,0.192661,1.0,0.221053
1.0,0.192661,1.0,0.194444,1.0,0.223404
1.0,0.194444,1.0,0.196262,1.0,0.225806
1.0,0.196262,1.0,0.198113,1.0,0.228261
1.0,0.185841,1.0,0.1875,1.0,0.2
1.0,0.176471,1.0,0.176471,1.0,0.176471
