VGG16_RECALL(X),VGG16_PRECISION(Y),EffNetB0_RECALL(X),EffNetB0_PRECISION(Y),SwinT_RECALL(X),SwinT_PRECISION(Y)
0.0,1.0,0.0,1.0,0.0,1.0
0.026316,1.0,0.026316,1.0,0.026316,1.0
0.052632,1.0,0.052632,1.0,0.052632,1.0
0.078947,1.0,0.078947,1.0,0.078947,1.0
0.105263,1.0,0.105263,0.8,0.105263,1.0
0.131579,1.0,0.105263,1.0,0.131579,1.0
0.131579,0.833333,0.105263,0.666667,0.157895,0.857143
0.131579,0.714286,0.131579,0.714286,0.157895,1.0
0.157895,0.75,0.157895,0.75,0.184211,0.875
0.184211,0.777778,0.157895,0.666667,0.210526,0.888889
0.184211,0.7,0.184211,0.7,0.210526,0.8
0.210526,0.727273,0.210526,0.727273,0.236842,0.818182
0.210526,0.666667,0.236842,0.75,0.263158,0.833333
0.236842,0.692308,0.236842,0.692308,0.289474,0.846154
0.236842,0.642857,0.263158,0.714286,0.315789,0.857143
0.263158,0.666667,0.289474,0.647059,0.315789,0.8
0.289474,0.647059,0.289474,0.611111,0.342105,0.8125
0.289474,0.6875,0.289474,0.733333,0.368421,0.823529
0.315789,0.631579,0.289474,0.6875,0.394737,0.789474
0.315789,0.666667,0.315789,0.6,0.394737,0.833333
0.342105,0.65,0.315789,0.631579,0.421053,0.761905
0.368421,0.666667,0.342105,0.619048,0.421053,0.727273
0.394737,0.681818,0.368421,0.636364,0.421053,0.8
0.394737,0.652174,0.368421,0.608696,0.447368,0.73913
0.394737,0.625,0.368421,0.583333,0.447368,0.708333
0.394737,0.6,0.394737,0.6,0.447368,0.68
0.394737,0.576923,0.421053,0.615385,0.447368,0.653846
0.421053,0.592593,0.421053,0.592593,0.473684,0.666667
0.421053,0.571429,0.447368,0.607143,0.5,0.678571
0.421053,0.551724,0.473684,0.514286,0.526316,0.689655
0.421053,0.533333,0.473684,0.486486,0.526316,0.666667
0.447368,0.548387,0.473684,0.5,0.552632,0.677419
0.473684,0.5625,0.473684,0.529412,0.552632,0.65625
0.5,0.558824,0.473684,0.5625,0.578947,0.666667
0.5,0.575758,0.473684,0.62069,0.605263,0.676471
0.526316,0.571429,0.473684,0.545455,0.631579,0.666667
0.526316,0.555556,0.473684,0.580645,0.631579,0.685714
0.526316,0.540541,0.473684,0.6,0.657895,0.657895
0.526316,0.526316,0.5,0.5,0.657895,0.641026
0.526316,0.512821,0.5,0.487179,0.657895,0.625
0.526316,0.5,0.5,0.475,0.657895,0.609756
0.526316,0.487805,0.526316,0.487805,0.657895,0.595238
0.552632,0.456522,0.526316,0.47619,0.657895,0.581395
0.552632,0.466667,0.526316,0.465116,0.657895,0.568182
0.552632,0.446809,0.552632,0.344262,0.657895,0.675676
0.552632,0.488372,0.552632,0.35,0.684211,0.577778
0.552632,0.5,0.552632,0.355932,0.710526,0.5
0.552632,0.477273,0.552632,0.362069,0.710526,0.509434
0.578947,0.458333,0.552632,0.368421,0.710526,0.519231
0.578947,0.44898,0.552632,0.375,0.710526,0.529412
0.578947,0.44,0.552632,0.381818,0.710526,0.55102
0.578947,0.431373,0.552632,0.388889,0.710526,0.5625
0.605263,0.442308,0.552632,0.42,0.710526,0.574468
0.631579,0.45283,0.552632,0.403846,0.710526,0.586957
0.631579,0.444444,0.552632,0.411765,0.710526,0.54
0.657895,0.454545,0.552632,0.428571,0.736842,0.509091
0.657895,0.446429,0.552632,0.33871,0.736842,0.5
0.657895,0.438596,0.552632,0.446809,0.736842,0.491228
0.657895,0.431034,0.552632,0.456522,0.736842,0.482759
0.684211,0.412698,0.552632,0.466667,0.736842,0.474576
0.684211,0.419355,0.552632,0.477273,0.763158,0.483333
0.684211,0.40625,0.552632,0.396226,0.763158,0.47541
0.684211,0.433333,0.552632,0.4375,0.763158,0.467742
0.684211,0.42623,0.578947,0.34375,0.763158,0.460317
0.684211,0.440678,0.578947,0.349206,0.789474,0.447761
0.710526,0.397059,0.605263,0.353846,0.789474,0.461538
0.710526,0.415385,0.631579,0.358209,0.789474,0.46875
0.710526,0.409091,0.631579,0.352941,0.789474,0.454545
0.710526,0.402985,0.631579,0.363636,0.815789,0.455882
0.736842,0.405797,0.657895,0.362319,0.815789,0.449275
0.736842,0.4,0.657895,0.357143,0.842105,0.372093
0.763158,0.358025,0.684211,0.313253,0.842105,0.376471
0.763158,0.3625,0.684211,0.317073,0.842105,0.380952
0.763158,0.371795,0.684211,0.320988,0.842105,0.385542
0.763158,0.376623,0.684211,0.325,0.842105,0.390244
0.763158,0.367089,0.684211,0.329114,0.842105,0.395062
0.763158,0.386667,0.684211,0.333333,0.842105,0.4
0.763158,0.391892,0.684211,0.309524,0.842105,0.405063
0.763158,0.39726,0.684211,0.342105,0.842105,0.415584
0.763158,0.402778,0.684211,0.346667,0.842105,0.421053
0.763158,0.408451,0.684211,0.351351,0.842105,0.426667
0.763158,0.381579,0.684211,0.356164,0.842105,0.432432
0.789474,0.365854,0.684211,0.361111,0.842105,0.438356
0.815789,0.373494,0.684211,0.366197,0.842105,0.444444
0.815789,0.369048,0.684211,0.337662,0.842105,0.450704
0.815789,0.364706,0.710526,0.296703,0.842105,0.457143
0.815789,0.360465,0.710526,0.303371,0.842105,0.410256
0.815789,0.356322,0.710526,0.3,0.868421,0.366667
0.842105,0.363636,0.710526,0.310345,0.868421,0.37931
0.868421,0.351064,0.710526,0.313953,0.868421,0.375
0.868421,0.354839,0.710526,0.317647,0.868421,0.370787
0.868421,0.370787,0.710526,0.306818,0.894737,0.373626
0.868421,0.362637,0.736842,0.304348,0.894737,0.369565
0.868421,0.366667,0.736842,0.301075,0.894737,0.365591
0.868421,0.358696,0.763158,0.268519,0.894737,0.361702
0.894737,0.298246,0.763158,0.271028,0.921053,0.315315
0.894737,0.295652,0.763158,0.273585,0.921053,0.3125
0.894737,0.293103,0.763158,0.281553,0.921053,0.309735
0.894737,0.290598,0.763158,0.27619,0.921053,0.307018
0.894737,0.288136,0.763158,0.278846,0.921053,0.304348
0.894737,0.285714,0.763158,0.284314,0.921053,0.29661
0.894737,0.280992,0.763158,0.298969,0.921053,0.299145
0.894737,0.278689,0.763158,0.29,0.921053,0.318182
0.894737,0.276423,0.763158,0.287129,0.921053,0.294118
0.894737,0.300885,0.763158,0.308511,0.921053,0.291667
0.894737,0.274194,0.763158,0.305263,0.921053,0.301724
0.894737,0.272,0.763158,0.302083,0.921053,0.321101
0.894737,0.269841,0.763158,0.295918,0.921053,0.360825
0.894737,0.283333,0.763158,0.292929,0.921053,0.327103
0.894737,0.303571,0.789474,0.275229,0.921053,0.368421
0.894737,0.346939,0.789474,0.272727,0.921053,0.364583
0.894737,0.309091,0.815789,0.258333,0.921053,0.324074
0.894737,0.267717,0.815789,0.260504,0.921053,0.353535
0.894737,0.354167,0.815789,0.264957,0.921053,0.35
0.894737,0.350515,0.815789,0.267241,0.921053,0.357143
0.894737,0.343434,0.815789,0.262712,0.921053,0.343137
0.894737,0.34,0.815789,0.274336,0.921053,0.339806
0.894737,0.336634,0.815789,0.276786,0.921053,0.336538
0.894737,0.306306,0.815789,0.279279,0.921053,0.333333
0.894737,0.333333,0.815789,0.27193,0.921053,0.330189
0.894737,0.326923,0.815789,0.269565,0.921053,0.346535
0.894737,0.32381,0.842105,0.264463,0.947368,0.297521
0.894737,0.320755,0.842105,0.262295,0.947368,0.295082
0.894737,0.317757,0.842105,0.260163,0.947368,0.292683
0.894737,0.314815,0.842105,0.258065,0.947368,0.290323
0.894737,0.311927,0.868421,0.259843,0.947368,0.288
0.894737,0.330097,0.868421,0.264,0.947368,0.285714
0.894737,0.357895,0.868421,0.261905,0.947368,0.283465
0.894737,0.265625,0.868421,0.257812,0.947368,0.28125
0.894737,0.261538,0.868421,0.253846,0.947368,0.276923
0.894737,0.263566,0.868421,0.255814,0.947368,0.258993
0.894737,0.222222,0.868421,0.227586,0.947368,0.26087
0.894737,0.223684,0.868421,0.230769,0.947368,0.262774
0.894737,0.225166,0.868421,0.232394,0.947368,0.264706
0.894737,0.226667,0.868421,0.234043,0.947368,0.27907
0.894737,0.228188,0.868421,0.235714,0.947368,0.268657
0.894737,0.22973,0.868421,0.23741,0.947368,0.270677
0.894737,0.231293,0.868421,0.229167,0.947368,0.272727
0.894737,0.232877,0.868421,0.240876,0.947368,0.274809
0.894737,0.236111,0.868421,0.242647,0.947368,0.266667
0.894737,0.237762,0.868421,0.244444,0.973684,0.207865
0.894737,0.234483,0.868421,0.246269,0.973684,0.220238
0.894737,0.241135,0.868421,0.24812,0.973684,0.218935
0.894737,0.259542,0.868421,0.25,0.973684,0.217647
0.894737,0.257576,0.868421,0.251908,0.973684,0.216374
0.894737,0.255639,0.868421,0.23913,0.973684,0.215116
0.894737,0.239437,0.894737,0.232877,0.973684,0.213873
0.894737,0.251852,0.921053,0.216049,0.973684,0.212644
0.894737,0.253731,0.921053,0.214724,0.973684,0.211429
0.894737,0.248175,0.921053,0.213415,0.973684,0.20904
