VGG16_FPR(X),VGG16_TPR(Y),EffNetB0_FPR(X),EffNetB0_TPR(Y),SwinT_FPR(X),SwinT_TPR(Y)
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.047619,0.0,0.047619,0.0,0.047619
0.0,0.190476,0.0,0.380952,0.0,0.380952
0.010204,0.190476,0.020408,0.380952,0.020408,0.380952
0.010204,0.333333,0.020408,0.428571,0.020408,0.428571
0.030612,0.333333,0.030612,0.428571,0.040816,0.428571
0.030612,0.380952,0.030612,0.47619,0.040816,0.47619
0.061224,0.380952,0.05102,0.47619,0.05102,0.47619
0.061224,0.428571,0.05102,0.52381,0.05102,0.571429
0.071429,0.428571,0.071429,0.52381,0.071429,0.571429
0.071429,0.52381,0.071429,0.571429,0.071429,0.619048
0.081633,0.52381,0.081633,0.571429,0.112245,0.619048
0.081633,0.571429,0.081633,0.619048,0.112245,0.666667
0.091837,0.619048,0.122449,0.666667,0.122449,0.714286
0.091837,0.571429,0.122449,0.619048,0.122449,0.666667
0.163265,0.619048,0.214286,0.666667,0.132653,0.714286
0.163265,0.666667,0.214286,0.714286,0.132653,0.761905
0.173469,0.666667,0.244898,0.714286,0.163265,0.761905
0.173469,0.714286,0.244898,0.809524,0.163265,0.809524
0.255102,0.714286,0.265306,0.809524,0.173469,0.809524
0.255102,0.761905,0.265306,0.857143,0.173469,0.857143
0.357143,0.761905,0.489796,0.857143,0.234694,0.857143
0.357143,0.857143,0.489796,0.904762,0.234694,0.904762
0.459184,0.857143,0.55102,0.904762,0.418367,0.904762
0.459184,0.904762,0.55102,0.952381,0.418367,0.952381
0.561224,0.904762,0.857143,0.952381,0.72449,0.952381
0.561224,0.952381,0.857143,1.0,0.72449,1.0
0.877551,1.0,1.0,1.0,1.0,1.0
0.877551,0.952381,,,,
1.0,1.0,,,,
