VGG16_FPR(X),VGG16_TPR(Y),EffNetB0_FPR(X),EffNetB0_TPR(Y),SwinT_FPR(X),SwinT_TPR(Y)
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.026316,0.0,0.026316,0.0,0.026316
0.0,0.131579,0.0,0.105263,0.0,0.157895
0.009174,0.131579,0.009174,0.105263,0.004587,0.157895
0.009174,0.184211,0.009174,0.157895,0.004587,0.210526
0.013761,0.184211,0.013761,0.157895,0.009174,0.210526
0.013761,0.210526,0.013761,0.236842,0.009174,0.315789
0.018349,0.210526,0.018349,0.236842,0.013761,0.315789
0.018349,0.236842,0.018349,0.289474,0.013761,0.394737
0.022936,0.236842,0.03211,0.289474,0.018349,0.421053
0.022936,0.289474,0.03211,0.315789,0.018349,0.394737
0.027523,0.315789,0.036697,0.368421,0.027523,0.421053
0.027523,0.289474,0.036697,0.315789,0.027523,0.447368
0.03211,0.315789,0.045872,0.368421,0.041284,0.447368
0.03211,0.394737,0.045872,0.421053,0.041284,0.526316
0.050459,0.394737,0.050459,0.421053,0.045872,0.526316
0.050459,0.421053,0.050459,0.473684,0.045872,0.552632
0.06422,0.421053,0.087156,0.473684,0.050459,0.552632
0.06422,0.5,0.087156,0.5,0.050459,0.631579
0.068807,0.5,0.09633,0.5,0.055046,0.631579
0.068807,0.526316,0.09633,0.526316,0.055046,0.657895
0.09633,0.526316,0.105505,0.526316,0.087156,0.710526
0.09633,0.552632,0.105505,0.552632,0.087156,0.657895
0.119266,0.578947,0.188073,0.552632,0.123853,0.710526
0.119266,0.552632,0.188073,0.578947,0.123853,0.736842
0.133028,0.631579,0.192661,0.631579,0.142202,0.736842
0.133028,0.578947,0.192661,0.578947,0.142202,0.763158
0.137615,0.631579,0.201835,0.631579,0.155963,0.763158
0.137615,0.657895,0.201835,0.657895,0.155963,0.789474
0.151376,0.657895,0.206422,0.657895,0.169725,0.789474
0.151376,0.684211,0.206422,0.684211,0.169725,0.815789
0.174312,0.684211,0.266055,0.684211,0.174312,0.842105
0.174312,0.710526,0.266055,0.710526,0.174312,0.815789
0.188073,0.710526,0.293578,0.710526,0.247706,0.868421
0.188073,0.736842,0.293578,0.736842,0.247706,0.842105
0.192661,0.736842,0.298165,0.736842,0.261468,0.868421
0.192661,0.763158,0.298165,0.763158,0.261468,0.894737
0.238532,0.763158,0.362385,0.789474,0.275229,0.894737
0.238532,0.815789,0.362385,0.763158,0.275229,0.921053
0.256881,0.868421,0.366972,0.815789,0.389908,0.921053
0.256881,0.815789,0.366972,0.789474,0.389908,0.947368
0.279817,0.868421,0.408257,0.815789,0.472477,0.947368
0.279817,0.894737,0.408257,0.842105,0.472477,0.973684
0.545872,0.894737,0.422018,0.842105,0.706422,1.0
0.545872,0.921053,0.422018,0.868421,0.706422,0.973684
0.605505,0.921053,0.513761,0.868421,1.0,1.0
0.605505,0.947368,0.513761,0.921053,,
0.862385,0.947368,0.623853,0.921053,,
0.862385,0.973684,0.623853,0.947368,,
0.949541,0.973684,0.711009,0.947368,,
0.949541,1.0,0.711009,0.973684,,
1.0,1.0,0.972477,1.0,,
,,0.972477,0.973684,,
,,1.0,1.0,,
