VGG16_RECALL(X),VGG16_PRECISION(Y),EffNetB0_RECALL(X),EffNetB0_PRECISION(Y),SwinT_RECALL(X),SwinT_PRECISION(Y)
0.0,1.0,0.0,1.0,0.0,1.0
0.026316,1.0,0.026316,1.0,0.026316,1.0
0.052632,1.0,0.052632,0.666667,0.052632,1.0
0.078947,1.0,0.052632,1.0,0.078947,1.0
0.078947,0.75,0.078947,0.75,0.105263,1.0
0.105263,0.8,0.105263,0.8,0.131579,1.0
0.105263,0.666667,0.105263,0.666667,0.157895,1.0
0.105263,0.571429,0.131579,0.714286,0.184211,1.0
0.105263,0.5,0.157895,0.75,0.210526,1.0
0.105263,0.444444,0.157895,0.666667,0.236842,1.0
0.105263,0.4,0.184211,0.7,0.236842,0.9
0.105263,0.363636,0.210526,0.727273,0.263158,0.909091
0.131579,0.416667,0.210526,0.666667,0.289474,0.916667
0.157895,0.461538,0.210526,0.615385,0.315789,0.923077
0.184211,0.5,0.210526,0.571429,0.315789,0.857143
0.210526,0.470588,0.236842,0.6,0.342105,0.764706
0.210526,0.444444,0.236842,0.5625,0.342105,0.866667
0.210526,0.533333,0.236842,0.529412,0.342105,0.8125
0.210526,0.5,0.263158,0.5,0.368421,0.736842
0.236842,0.473684,0.263158,0.555556,0.368421,0.7
0.263158,0.5,0.263158,0.526316,0.368421,0.666667
0.263158,0.47619,0.289474,0.52381,0.368421,0.636364
0.289474,0.5,0.315789,0.545455,0.368421,0.777778
0.315789,0.521739,0.315789,0.521739,0.394737,0.652174
0.315789,0.5,0.315789,0.5,0.421053,0.666667
0.315789,0.48,0.315789,0.48,0.421053,0.64
0.315789,0.461538,0.315789,0.461538,0.421053,0.615385
0.315789,0.444444,0.315789,0.444444,0.421053,0.592593
0.342105,0.464286,0.315789,0.428571,0.421053,0.571429
0.342105,0.448276,0.342105,0.448276,0.447368,0.586207
0.368421,0.466667,0.368421,0.4375,0.473684,0.545455
0.394737,0.428571,0.368421,0.411765,0.473684,0.5625
0.394737,0.441176,0.368421,0.424242,0.473684,0.6
0.394737,0.46875,0.368421,0.466667,0.473684,0.580645
0.394737,0.483871,0.368421,0.451613,0.5,0.558824
0.394737,0.454545,0.394737,0.428571,0.526316,0.571429
0.421053,0.444444,0.394737,0.416667,0.552632,0.583333
0.447368,0.459459,0.394737,0.405405,0.552632,0.567568
0.447368,0.447368,0.394737,0.394737,0.552632,0.552632
0.473684,0.461538,0.394737,0.384615,0.578947,0.564103
0.5,0.475,0.421053,0.363636,0.605263,0.575
0.526316,0.487805,0.421053,0.372093,0.631579,0.585366
0.552632,0.381818,0.421053,0.390244,0.631579,0.571429
0.552632,0.388889,0.421053,0.4,0.631579,0.55814
0.552632,0.396226,0.421053,0.380952,0.657895,0.568182
0.552632,0.403846,0.447368,0.314815,0.657895,0.555556
0.552632,0.411765,0.447368,0.320755,0.657895,0.543478
0.552632,0.42,0.447368,0.326923,0.684211,0.530612
0.552632,0.4375,0.447368,0.333333,0.684211,0.553191
0.552632,0.446809,0.447368,0.354167,0.684211,0.541667
0.552632,0.456522,0.447368,0.346939,0.710526,0.54
0.552632,0.466667,0.447368,0.361702,0.710526,0.529412
0.552632,0.477273,0.447368,0.369565,0.736842,0.538462
0.552632,0.488372,0.447368,0.377778,0.736842,0.528302
0.552632,0.5,0.447368,0.34,0.736842,0.518519
0.552632,0.428571,0.473684,0.327273,0.736842,0.509091
0.578947,0.392857,0.473684,0.321429,0.736842,0.5
0.578947,0.385965,0.473684,0.315789,0.736842,0.491228
0.578947,0.37931,0.473684,0.310345,0.763158,0.432836
0.578947,0.372881,0.473684,0.305085,0.763158,0.439394
0.605263,0.365079,0.473684,0.3,0.763158,0.460317
0.605263,0.353846,0.5,0.311475,0.763158,0.446154
0.605263,0.377049,0.5,0.306452,0.763158,0.47541
0.605263,0.370968,0.526316,0.307692,0.763158,0.467742
0.605263,0.359375,0.526316,0.31746,0.763158,0.5
0.605263,0.383333,0.526316,0.3125,0.763158,0.453125
0.631579,0.363636,0.552632,0.318182,0.763158,0.483333
0.631579,0.358209,0.578947,0.328358,0.763158,0.491525
0.631579,0.352941,0.578947,0.323529,0.789474,0.441176
0.631579,0.347826,0.578947,0.318841,0.789474,0.434783
0.631579,0.342857,0.578947,0.314286,0.789474,0.428571
0.631579,0.338028,0.578947,0.309859,0.815789,0.43662
0.631579,0.333333,0.605263,0.319444,0.815789,0.430556
0.657895,0.304878,0.605263,0.315068,0.815789,0.424658
0.657895,0.308642,0.605263,0.310811,0.815789,0.418919
0.657895,0.3125,0.605263,0.306667,0.842105,0.390244
0.657895,0.320513,0.631579,0.296296,0.842105,0.395062
0.657895,0.316456,0.631579,0.3,0.842105,0.4
0.657895,0.328947,0.631579,0.307692,0.842105,0.385542
0.657895,0.333333,0.631579,0.311688,0.842105,0.410256
0.657895,0.337838,0.631579,0.315789,0.842105,0.415584
0.657895,0.342466,0.631579,0.303797,0.842105,0.421053
0.657895,0.324675,0.657895,0.271739,0.842105,0.426667
0.684211,0.245283,0.657895,0.252525,0.842105,0.405063
0.684211,0.247619,0.657895,0.255102,0.868421,0.392857
0.684211,0.25,0.657895,0.263158,0.868421,0.388235
0.684211,0.252427,0.657895,0.265957,0.894737,0.333333
0.684211,0.254902,0.657895,0.268817,0.894737,0.330097
0.684211,0.257426,0.657895,0.274725,0.894737,0.326923
0.684211,0.26,0.657895,0.257732,0.894737,0.32381
0.684211,0.262626,0.657895,0.280899,0.894737,0.320755
0.684211,0.265306,0.657895,0.277778,0.894737,0.311927
0.684211,0.270833,0.657895,0.304878,0.894737,0.314815
0.684211,0.268041,0.657895,0.301205,0.894737,0.309091
0.684211,0.273684,0.657895,0.297619,0.894737,0.306306
0.684211,0.27957,0.657895,0.260417,0.894737,0.303571
0.684211,0.282609,0.657895,0.294118,0.894737,0.336634
0.684211,0.285714,0.657895,0.290698,0.894737,0.317757
0.684211,0.288889,0.657895,0.287356,0.894737,0.34
0.684211,0.292135,0.657895,0.284091,0.894737,0.350515
0.684211,0.295455,0.684211,0.26,0.894737,0.346939
0.684211,0.298851,0.684211,0.257426,0.894737,0.343434
0.684211,0.302326,0.684211,0.254902,0.894737,0.395349
0.684211,0.305882,0.684211,0.252427,0.894737,0.390805
0.684211,0.309524,0.684211,0.25,0.894737,0.386364
0.684211,0.313253,0.684211,0.247619,0.894737,0.382022
0.684211,0.276596,0.710526,0.254717,0.894737,0.377778
0.710526,0.241071,0.736842,0.243478,0.894737,0.357895
0.710526,0.245455,0.736842,0.245614,0.894737,0.369565
0.710526,0.243243,0.736842,0.247788,0.894737,0.365591
0.710526,0.25,0.736842,0.25,0.894737,0.361702
0.710526,0.252336,0.736842,0.256881,0.894737,0.354167
0.710526,0.247706,0.736842,0.254545,0.894737,0.373626
0.736842,0.247788,0.736842,0.259259,0.921053,0.286885
0.736842,0.245614,0.736842,0.261682,0.921053,0.289256
0.763158,0.252174,0.736842,0.252252,0.921053,0.291667
0.763158,0.25,0.763158,0.230159,0.921053,0.294118
0.763158,0.247863,0.763158,0.232,0.921053,0.29661
0.789474,0.238095,0.763158,0.233871,0.921053,0.301724
0.789474,0.24,0.763158,0.235772,0.921053,0.304348
0.789474,0.241935,0.763158,0.237705,0.921053,0.309735
0.789474,0.243902,0.763158,0.228346,0.921053,0.299145
0.789474,0.252101,0.763158,0.243697,0.921053,0.307018
0.789474,0.247934,0.763158,0.245763,0.947368,0.283465
0.789474,0.25,0.763158,0.247863,0.947368,0.292683
0.789474,0.254237,0.763158,0.25,0.947368,0.290323
0.789474,0.245902,0.763158,0.239669,0.947368,0.288
0.789474,0.23622,0.763158,0.241667,0.947368,0.285714
0.789474,0.234375,0.763158,0.226562,0.947368,0.28125
0.789474,0.230769,0.763158,0.223077,0.947368,0.276923
0.789474,0.223881,0.763158,0.211679,0.947368,0.215569
0.789474,0.225564,0.763158,0.213235,0.947368,0.214286
0.789474,0.232558,0.763158,0.214815,0.947368,0.213018
0.789474,0.229008,0.763158,0.224806,0.947368,0.211765
0.789474,0.227273,0.763158,0.218045,0.947368,0.210526
0.815789,0.22963,0.763158,0.219697,0.947368,0.209302
0.815789,0.227941,0.763158,0.221374,0.947368,0.208092
0.815789,0.226277,0.763158,0.216418,0.947368,0.206897
0.815789,0.224638,0.789474,0.217391,0.947368,0.205714
0.815789,0.223022,0.789474,0.215827,0.947368,0.204545
0.842105,0.228571,0.789474,0.214286,0.947368,0.20339
0.842105,0.22695,0.789474,0.212766,0.947368,0.202247
0.842105,0.225352,0.815789,0.197452,0.947368,0.201117
0.842105,0.223776,0.815789,0.196203,0.947368,0.2
0.868421,0.218543,0.815789,0.194969,0.947368,0.198895
0.868421,0.22,0.815789,0.19375,0.947368,0.197802
0.868421,0.221477,0.815789,0.192547,0.947368,0.196721
0.868421,0.226027,0.815789,0.186747,0.947368,0.182741
0.868421,0.22449,0.815789,0.190184,0.947368,0.183673
0.868421,0.227586,0.815789,0.189024,0.947368,0.184615
