VGG16_RECALL(X),VGG16_PRECISION(Y),EffNetB0_RECALL(X),EffNetB0_PRECISION(Y),SwinT_RECALL(X),SwinT_PRECISION(Y)
0.0,1.0,0.0,1.0,0.0,1.0
0.0,0.0,0.047619,0.2,0.047619,1.0
0.0,0.0,0.047619,0.25,0.095238,1.0
0.047619,0.333333,0.047619,1.0,0.142857,1.0
0.047619,0.25,0.047619,0.5,0.190476,1.0
0.095238,0.4,0.047619,0.333333,0.190476,0.8
0.095238,0.333333,0.095238,0.333333,0.190476,0.666667
0.095238,0.285714,0.142857,0.428571,0.238095,0.714286
0.095238,0.25,0.142857,0.375,0.285714,0.75
0.095238,0.222222,0.142857,0.333333,0.333333,0.777778
0.095238,0.2,0.142857,0.3,0.380952,0.8
0.095238,0.181818,0.142857,0.272727,0.380952,0.727273
0.095238,0.166667,0.190476,0.333333,0.380952,0.666667
0.095238,0.153846,0.190476,0.307692,0.380952,0.615385
0.142857,0.214286,0.190476,0.285714,0.380952,0.571429
0.190476,0.25,0.190476,0.266667,0.428571,0.6
0.190476,0.266667,0.190476,0.25,0.47619,0.588235
0.238095,0.294118,0.238095,0.25,0.47619,0.555556
0.285714,0.333333,0.238095,0.263158,0.47619,0.526316
0.285714,0.315789,0.238095,0.294118,0.47619,0.5
0.285714,0.3,0.238095,0.277778,0.47619,0.47619
0.333333,0.333333,0.285714,0.285714,0.47619,0.454545
0.380952,0.363636,0.333333,0.318182,0.47619,0.434783
0.428571,0.391304,0.380952,0.347826,0.47619,0.625
0.428571,0.375,0.380952,0.333333,0.52381,0.34375
0.428571,0.36,0.380952,0.32,0.52381,0.37931
0.428571,0.346154,0.380952,0.307692,0.52381,0.392857
0.428571,0.333333,0.380952,0.296296,0.52381,0.354839
0.47619,0.357143,0.428571,0.257143,0.52381,0.423077
0.52381,0.34375,0.428571,0.264706,0.52381,0.407407
0.52381,0.354839,0.428571,0.272727,0.52381,0.458333
0.52381,0.37931,0.428571,0.28125,0.52381,0.366667
0.52381,0.366667,0.428571,0.3,0.52381,0.44
0.571429,0.352941,0.428571,0.310345,0.571429,0.363636
0.571429,0.342857,0.428571,0.321429,0.571429,0.352941
0.571429,0.363636,0.428571,0.290323,0.571429,0.342857
0.619048,0.361111,0.47619,0.277778,0.571429,0.333333
0.666667,0.378378,0.47619,0.27027,0.571429,0.324324
0.666667,0.368421,0.52381,0.289474,0.571429,0.315789
0.666667,0.358974,0.52381,0.282051,0.571429,0.307692
0.666667,0.35,0.52381,0.275,0.619048,0.325
0.714286,0.365854,0.52381,0.268293,0.666667,0.341463
0.761905,0.380952,0.571429,0.255319,0.714286,0.333333
0.761905,0.372093,0.571429,0.266667,0.714286,0.340909
0.809524,0.346939,0.571429,0.26087,0.714286,0.348837
0.809524,0.354167,0.571429,0.27907,0.714286,0.357143
0.809524,0.361702,0.571429,0.285714,0.761905,0.340426
0.809524,0.377778,0.571429,0.272727,0.761905,0.333333
0.809524,0.386364,0.619048,0.270833,0.761905,0.347826
0.809524,0.369565,0.619048,0.265306,0.809524,0.346939
0.857143,0.36,0.619048,0.26,0.809524,0.34
0.857143,0.352941,0.619048,0.254902,0.809524,0.333333
0.857143,0.346154,0.619048,0.25,0.809524,0.326923
0.857143,0.339623,0.619048,0.245283,0.809524,0.320755
0.857143,0.333333,0.619048,0.240741,0.857143,0.333333
0.857143,0.327273,0.619048,0.236364,0.857143,0.327273
0.857143,0.321429,0.666667,0.25,0.857143,0.321429
0.857143,0.315789,0.714286,0.263158,0.857143,0.315789
0.857143,0.310345,0.714286,0.258621,0.857143,0.310345
0.857143,0.305085,0.714286,0.254237,0.857143,0.305085
0.857143,0.3,0.714286,0.25,0.857143,0.3
0.857143,0.290323,0.714286,0.241935,0.857143,0.290323
0.857143,0.230769,0.714286,0.238095,0.857143,0.295082
0.857143,0.295082,0.714286,0.234375,0.857143,0.219512
0.857143,0.236842,0.714286,0.230769,0.857143,0.222222
0.857143,0.24,0.714286,0.227273,0.857143,0.225
0.857143,0.243243,0.714286,0.223881,0.857143,0.227848
0.857143,0.246575,0.714286,0.220588,0.857143,0.233766
0.857143,0.25,0.714286,0.217391,0.857143,0.236842
0.857143,0.253521,0.714286,0.214286,0.857143,0.24
0.857143,0.233766,0.714286,0.211268,0.857143,0.243243
0.857143,0.26087,0.714286,0.245902,0.857143,0.246575
0.857143,0.264706,0.761905,0.222222,0.857143,0.230769
0.857143,0.268657,0.809524,0.217949,0.857143,0.253521
0.857143,0.272727,0.809524,0.220779,0.857143,0.257143
0.857143,0.276923,0.809524,0.232877,0.857143,0.26087
0.857143,0.28125,0.809524,0.226667,0.857143,0.264706
0.857143,0.285714,0.809524,0.22973,0.857143,0.285714
0.857143,0.257143,0.809524,0.223684,0.857143,0.268657
0.904762,0.202128,0.857143,0.206897,0.857143,0.272727
0.904762,0.2,0.857143,0.2,0.857143,0.276923
0.904762,0.197917,0.857143,0.202247,0.857143,0.28125
0.904762,0.195876,0.857143,0.204545,0.857143,0.25
0.904762,0.193878,0.857143,0.209302,0.904762,0.22619
0.904762,0.186275,0.857143,0.197802,0.904762,0.228916
0.904762,0.19,0.857143,0.214286,0.952381,0.194175
0.904762,0.188119,0.857143,0.216867,0.952381,0.196078
0.904762,0.184466,0.857143,0.219512,0.952381,0.19802
0.904762,0.182692,0.857143,0.222222,0.952381,0.2
0.904762,0.180952,0.857143,0.225,0.952381,0.20202
0.904762,0.191919,0.857143,0.227848,0.952381,0.204082
0.904762,0.204301,0.857143,0.211765,0.952381,0.208333
0.904762,0.208791,0.904762,0.174312,0.952381,0.206186
0.904762,0.211111,0.904762,0.175926,0.952381,0.210526
0.904762,0.213483,0.904762,0.17757,0.952381,0.21978
0.904762,0.215909,0.904762,0.179245,0.952381,0.215054
0.904762,0.218391,0.904762,0.180952,0.952381,0.217391
0.904762,0.22093,0.904762,0.182692,0.952381,0.222222
0.904762,0.223529,0.904762,0.186275,0.952381,0.224719
0.904762,0.22619,0.904762,0.188119,0.952381,0.227273
0.904762,0.228916,0.904762,0.184466,0.952381,0.229885
0.904762,0.231707,0.904762,0.191919,0.952381,0.232558
0.904762,0.234568,0.904762,0.193878,0.952381,0.235294
0.904762,0.2375,0.904762,0.195876,0.952381,0.212766
0.904762,0.240506,0.904762,0.197917,1.0,0.177966
0.904762,0.206522,0.904762,0.2,1.0,0.179487
